caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
0b142eca-fbf7-47f9-889f-0890f684f714,4a044c62-398e-4c19-89ff-9951f232268c,acfe50b0-c650-4e5c-96f9-df6e99b526ed,->,0b142eca-fbf7-47f9-889f-0890f684f714,4a044c62-398e-4c19-89ff-9951f232268c,acfe50b0-c650-4e5c-96f9-df6e99b526ed
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,java/sql/ResultSet.java,getLong
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,java/lang/Long.java,valueOf
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,java/sql/ResultSet.java,getLong
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,java/lang/Long.java,valueOf
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,b9214da5-0a93-4bd7-97ab-95aec76fff86,947a33cd-d1fd-48dc-bf15-102e35b78e92
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,java/sql/ResultSet.java,getString
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,b9214da5-0a93-4bd7-97ab-95aec76fff86,3fb8f70e-9961-4b2c-9ce0-436047a02042
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,java/sql/ResultSet.java,getString
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,b9214da5-0a93-4bd7-97ab-95aec76fff86,77c254e6-5509-4cfa-a71b-b2d667bdec04
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,java/sql/ResultSet.java,getDate
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,b9214da5-0a93-4bd7-97ab-95aec76fff86,347878c4-9f3f-4164-9c95-7686059b885a
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,java/sql/ResultSet.java,getDate
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,b9214da5-0a93-4bd7-97ab-95aec76fff86,2a7c732f-7830-448b-a67d-1a264c140dce
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/SprintDao$SprintRowMapper.java,mapRow
0b142eca-fbf7-47f9-889f-0890f684f714,com/logus/hephaestus/model/dao/DaoSupport$1.java,mapRow,->,0b142eca-fbf7-47f9-889f-0890f684f714,java/sql/ResultSet.java,getInt
