caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,hw_8puzzle/Solver$SearchNode.java,compareTo,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,hw_8puzzle/Solver$SearchNode.java,compareTo
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,40ff6bf6-02db-4eda-ab1e-36b25323099f,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,febd6573-ea70-4715-9137-912a89d3fd11
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,febd6573-ea70-4715-9137-912a89d3fd11,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,java/lang/Math.java,abs
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,febd6573-ea70-4715-9137-912a89d3fd11,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,java/lang/Math.java,abs
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,a70a63be-c991-47f4-81be-657f443a09c6,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,954828c3-6c04-4fef-ba41-f011f654a1cb
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,a70a63be-c991-47f4-81be-657f443a09c6,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,febd6573-ea70-4715-9137-912a89d3fd11
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,08b65f9f-759a-41e9-86a5-555fa66333c2,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,954828c3-6c04-4fef-ba41-f011f654a1cb
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,08b65f9f-759a-41e9-86a5-555fa66333c2,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,edu/princeton/cs/algs4/Stack.java,push
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,08b65f9f-759a-41e9-86a5-555fa66333c2,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,954828c3-6c04-4fef-ba41-f011f654a1cb
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,08b65f9f-759a-41e9-86a5-555fa66333c2,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,edu/princeton/cs/algs4/Stack.java,push
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,08b65f9f-759a-41e9-86a5-555fa66333c2,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,954828c3-6c04-4fef-ba41-f011f654a1cb
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,08b65f9f-759a-41e9-86a5-555fa66333c2,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,edu/princeton/cs/algs4/Stack.java,push
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,08b65f9f-759a-41e9-86a5-555fa66333c2,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,954828c3-6c04-4fef-ba41-f011f654a1cb
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,08b65f9f-759a-41e9-86a5-555fa66333c2,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,edu/princeton/cs/algs4/Stack.java,push
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,84e901f8-704a-4a47-8709-35f6b9147022,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,java/lang/StringBuilder.java,append
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,84e901f8-704a-4a47-8709-35f6b9147022,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,java/lang/StringBuilder.java,append
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,84e901f8-704a-4a47-8709-35f6b9147022,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,java/lang/StringBuilder.java,toString
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,84e901f8-704a-4a47-8709-35f6b9147022,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,java/lang/StringBuilder.java,append
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,84e901f8-704a-4a47-8709-35f6b9147022,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,java/lang/Integer.java,valueOf
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,84e901f8-704a-4a47-8709-35f6b9147022,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,java/lang/String.java,format
0c9860bc-6ab2-4f5b-bccb-4db9f922e176,a8d93d2f-0ab2-451b-888b-a446480b1781,84e901f8-704a-4a47-8709-35f6b9147022,->,0c9860bc-6ab2-4f5b-bccb-4db9f922e176,java/lang/StringBuilder.java,append
