caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,java/util/Scanner.java,next
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,java/lang/String.java,charAt
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,getX
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,moveUp
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,Map.java,changeUnitPosition
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,getX
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,moveDown
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,Map.java,changeUnitPosition
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,moveLeft
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,getY
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,Map.java,changeUnitPosition
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,moveRight
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,getY
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,Map.java,changeUnitPosition
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,adjustXPosition
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getPlayerMove
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,getMove,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,adjustYPosition
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,adjustXPosition,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,getX
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,adjustXPosition,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,getX
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,adjustXPosition,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,getX
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,adjustXPosition,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,getX
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,adjustXPosition,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,moveLeft
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,adjustXPosition,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,getY
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,adjustXPosition,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,Map.java,changeUnitPosition
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,adjustXPosition,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,moveRight
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,adjustXPosition,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,SwordsMan.java,getY
10f70aa5-277a-48b7-ac71-7bbf88cadec6,Game.java,adjustXPosition,->,10f70aa5-277a-48b7-ac71-7bbf88cadec6,Map.java,changeUnitPosition
