caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,5bce8ebe-3a20-4dca-99aa-51fad88e5e6f,636003a6-b00a-47b2-8171-69f370610ec9,->,1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,6d90f05a-5e8c-4acf-9909-cc98cd8139cd,ef3ea3ba-c434-4e6d-9480-0e08ada13aee
1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,5bce8ebe-3a20-4dca-99aa-51fad88e5e6f,636003a6-b00a-47b2-8171-69f370610ec9,->,1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,5bce8ebe-3a20-4dca-99aa-51fad88e5e6f,9367336a-91b4-41d1-8a33-50724e7f3a2b
1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,5bce8ebe-3a20-4dca-99aa-51fad88e5e6f,1a9bed59-87c9-4246-888d-8e3e4fe34b05,->,1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,9263e239-7e9b-4623-90bb-3da69b560427,fb173ec0-4916-45aa-9528-2cee8f071274
1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,5bce8ebe-3a20-4dca-99aa-51fad88e5e6f,"34684941-04e2-4734-b5a8-c0d9fc79eac1,ddfa2c4d-97da-4ebe-8af3-43f8a1018f11",->,1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,9263e239-7e9b-4623-90bb-3da69b560427,"8959a6df-2c15-4121-90f5-cc8845ef9b12,762ee54f-6f1a-4af3-8134-c8aa87de494c"
1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,5bce8ebe-3a20-4dca-99aa-51fad88e5e6f,"34684941-04e2-4734-b5a8-c0d9fc79eac1,ddfa2c4d-97da-4ebe-8af3-43f8a1018f11",->,1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,java/lang/String.java,length
1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,5bce8ebe-3a20-4dca-99aa-51fad88e5e6f,"34684941-04e2-4734-b5a8-c0d9fc79eac1,ddfa2c4d-97da-4ebe-8af3-43f8a1018f11",->,1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,java/lang/String.java,charAt
1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,5bce8ebe-3a20-4dca-99aa-51fad88e5e6f,"34684941-04e2-4734-b5a8-c0d9fc79eac1,ddfa2c4d-97da-4ebe-8af3-43f8a1018f11",->,1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,9263e239-7e9b-4623-90bb-3da69b560427,"8959a6df-2c15-4121-90f5-cc8845ef9b12,762ee54f-6f1a-4af3-8134-c8aa87de494c"
1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,5bce8ebe-3a20-4dca-99aa-51fad88e5e6f,4f232f01-8739-400d-8a82-092296784e09,->,1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,9263e239-7e9b-4623-90bb-3da69b560427,658f9fb9-3192-4237-9533-1d00fdfbd7db
1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,5bce8ebe-3a20-4dca-99aa-51fad88e5e6f,f8f735bd-5412-4ff6-9fbb-9fb77fd0e436,->,1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,java/lang/String.java,length
1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,5bce8ebe-3a20-4dca-99aa-51fad88e5e6f,f8f735bd-5412-4ff6-9fbb-9fb77fd0e436,->,1414367c-cdf9-4ab5-8eb5-19a7aaf81e33,9263e239-7e9b-4623-90bb-3da69b560427,a326d435-8565-48ea-834b-30ff958c2c68
