caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,f2e12e10-a0ac-412f-bcce-cb5e6bd5e3c6,->,1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,060d6f39-a187-4667-b653-b36323a90ee3
1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,f2e12e10-a0ac-412f-bcce-cb5e6bd5e3c6,->,1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,3aa4904d-08d8-4e3b-abfc-392a16217098
1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,f2e12e10-a0ac-412f-bcce-cb5e6bd5e3c6,->,1a492584-a7c6-4e30-816d-70550c21942e,org/hibernate/Session.java,beginTransaction
1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,f2e12e10-a0ac-412f-bcce-cb5e6bd5e3c6,->,1a492584-a7c6-4e30-816d-70550c21942e,org/hibernate/Session.java,saveOrUpdate
1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,f2e12e10-a0ac-412f-bcce-cb5e6bd5e3c6,->,1a492584-a7c6-4e30-816d-70550c21942e,org/hibernate/Session.java,getTransaction
1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,f2e12e10-a0ac-412f-bcce-cb5e6bd5e3c6,->,1a492584-a7c6-4e30-816d-70550c21942e,org/hibernate/Transaction.java,commit
1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,3ac5a7c2-0a7c-456c-8629-d492cd3a1553,->,1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,060d6f39-a187-4667-b653-b36323a90ee3
1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,3ac5a7c2-0a7c-456c-8629-d492cd3a1553,->,1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,3aa4904d-08d8-4e3b-abfc-392a16217098
1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,3ac5a7c2-0a7c-456c-8629-d492cd3a1553,->,1a492584-a7c6-4e30-816d-70550c21942e,org/hibernate/Session.java,beginTransaction
1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,3ac5a7c2-0a7c-456c-8629-d492cd3a1553,->,1a492584-a7c6-4e30-816d-70550c21942e,org/hibernate/Session.java,delete
1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,3ac5a7c2-0a7c-456c-8629-d492cd3a1553,->,1a492584-a7c6-4e30-816d-70550c21942e,org/hibernate/Session.java,getTransaction
1a492584-a7c6-4e30-816d-70550c21942e,27e79513-cd34-4fe7-8e41-288428ae8d63,3ac5a7c2-0a7c-456c-8629-d492cd3a1553,->,1a492584-a7c6-4e30-816d-70550c21942e,org/hibernate/Transaction.java,commit
