caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
1b52f801-456f-4c00-b56e-666620638cf1,62d7bd3b-72d6-4679-b98c-96e1a97db13d,526ad216-3ff8-4604-9346-94600a8f4f28,->,1b52f801-456f-4c00-b56e-666620638cf1,java/util/Map.java,get
1b52f801-456f-4c00-b56e-666620638cf1,62d7bd3b-72d6-4679-b98c-96e1a97db13d,9bcb8329-10a0-4e22-954c-63208bd67ef3,->,1b52f801-456f-4c00-b56e-666620638cf1,java/util/Map.java,put
1b52f801-456f-4c00-b56e-666620638cf1,62d7bd3b-72d6-4679-b98c-96e1a97db13d,e9295a32-f53c-47c8-9e6f-f0b950bbf03b,->,1b52f801-456f-4c00-b56e-666620638cf1,java/lang/Object.java,getClass
1b52f801-456f-4c00-b56e-666620638cf1,62d7bd3b-72d6-4679-b98c-96e1a97db13d,e9295a32-f53c-47c8-9e6f-f0b950bbf03b,->,1b52f801-456f-4c00-b56e-666620638cf1,java/lang/Class.java,getSimpleName
1b52f801-456f-4c00-b56e-666620638cf1,62d7bd3b-72d6-4679-b98c-96e1a97db13d,e9295a32-f53c-47c8-9e6f-f0b950bbf03b,->,1b52f801-456f-4c00-b56e-666620638cf1,java/lang/String.java,format
1b52f801-456f-4c00-b56e-666620638cf1,62d7bd3b-72d6-4679-b98c-96e1a97db13d,e9295a32-f53c-47c8-9e6f-f0b950bbf03b,->,1b52f801-456f-4c00-b56e-666620638cf1,java/util/ResourceBundle.java,getBundle
1b52f801-456f-4c00-b56e-666620638cf1,62d7bd3b-72d6-4679-b98c-96e1a97db13d,e9295a32-f53c-47c8-9e6f-f0b950bbf03b,->,1b52f801-456f-4c00-b56e-666620638cf1,java/util/ResourceBundle.java,getString
1b52f801-456f-4c00-b56e-666620638cf1,62d7bd3b-72d6-4679-b98c-96e1a97db13d,"f457d1e3-67b6-4dd7-be07-8c57e9a0729b,79f3f188-4344-4c88-a572-7e09e342840b",->,1b52f801-456f-4c00-b56e-666620638cf1,62d7bd3b-72d6-4679-b98c-96e1a97db13d,"f457d1e3-67b6-4dd7-be07-8c57e9a0729b,79f3f188-4344-4c88-a572-7e09e342840b"
1b52f801-456f-4c00-b56e-666620638cf1,62d7bd3b-72d6-4679-b98c-96e1a97db13d,"f457d1e3-67b6-4dd7-be07-8c57e9a0729b,79f3f188-4344-4c88-a572-7e09e342840b",->,1b52f801-456f-4c00-b56e-666620638cf1,java/io/PrintWriter.java,println
1b52f801-456f-4c00-b56e-666620638cf1,62d7bd3b-72d6-4679-b98c-96e1a97db13d,"f457d1e3-67b6-4dd7-be07-8c57e9a0729b,79f3f188-4344-4c88-a572-7e09e342840b",->,1b52f801-456f-4c00-b56e-666620638cf1,java/io/PrintWriter.java,println
