caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,6e116470-d242-45a8-8ed8-b5816334be68,->,1ec59e86-e841-45fb-a846-5a8131158549,java/lang/String.java,concat
1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,6e116470-d242-45a8-8ed8-b5816334be68,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/ChatColor.java,stripColor
1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,6e116470-d242-45a8-8ed8-b5816334be68,->,1ec59e86-e841-45fb-a846-5a8131158549,java/util/logging/Logger.java,log
1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,62bc3027-5335-436e-82b4-e46478acba55,->,1ec59e86-e841-45fb-a846-5a8131158549,java/lang/String.java,concat
1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,62bc3027-5335-436e-82b4-e46478acba55,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/ChatColor.java,stripColor
1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,62bc3027-5335-436e-82b4-e46478acba55,->,1ec59e86-e841-45fb-a846-5a8131158549,java/util/logging/Logger.java,log
1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,db887ab1-9d87-4ac1-b9ed-8ce85f72d283,->,1ec59e86-e841-45fb-a846-5a8131158549,java/lang/String.java,concat
1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,db887ab1-9d87-4ac1-b9ed-8ce85f72d283,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/ChatColor.java,stripColor
1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,db887ab1-9d87-4ac1-b9ed-8ce85f72d283,->,1ec59e86-e841-45fb-a846-5a8131158549,java/util/logging/Logger.java,log
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/MCLogger.java,<clinit>,->,1ec59e86-e841-45fb-a846-5a8131158549,java/util/logging/Logger.java,getLogger
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/event/vehicle/VehicleUpdateEvent.java,getVehicle
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/event/vehicle/VehicleUpdateEvent.java,getVehicle
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,069d4fd2-3d7b-4c09-941d-93d0097d1b27,86d735ac-a9b6-4fb4-ab76-19984073b07f
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,6bc9e21a-1395-4585-9324-cefcd9e057d2,cc840548-30d5-444b-b1a2-0a4b25499be2
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,d3f4b1c6-f304-49b0-bca8-dcdf7bc0592b,e531dbf4-840c-4c92-88f3-e403ce4c2ccd
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/entity/Minecart.java,getWorld
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/World.java,getName
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,java/util/List.java,contains
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,069d4fd2-3d7b-4c09-941d-93d0097d1b27,86d735ac-a9b6-4fb4-ab76-19984073b07f
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,6bc9e21a-1395-4585-9324-cefcd9e057d2,e3cfa7e6-7f75-4df3-9d33-d9c50bd0afad
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,bdb1c9c0-cc10-433a-82f3-4539a75097da,db97e54d-500d-4d4f-ae17-2316a18535b2
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,62bc3027-5335-436e-82b4-e46478acba55
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/MinecartControl.java,getServer
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/Server.java,getPluginManager
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/plugin/PluginManager.java,callEvent
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,d5d15e74-463f-4d2a-92c5-7f43f487722f,28251adc-f089-440c-a911-2163e4841e41
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,62bc3027-5335-436e-82b4-e46478acba55
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,62bc3027-5335-436e-82b4-e46478acba55
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,069d4fd2-3d7b-4c09-941d-93d0097d1b27,86d735ac-a9b6-4fb4-ab76-19984073b07f
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,6bc9e21a-1395-4585-9324-cefcd9e057d2,1434f2f7-95e0-44d0-9f75-b50b6331773d
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/entity/Minecart.java,getLocation
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,b9f5c447-aeba-4b37-98d3-711799260498,f8cb0465-fa2f-4443-ac82-c9811e03f468
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,java/util/List.java,isEmpty
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,069d4fd2-3d7b-4c09-941d-93d0097d1b27,a1927dd7-506f-468a-b098-1b954637ce0b
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,ff153364-c89e-4629-ac07-c1d4285eddd3,"8ce553d0-7e5a-40d5-8caf-caa216fac647,196cdd0a-c86a-48a6-a918-b17dce544bf5"
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,f4afc60a-f42c-4615-8882-048edfd61dea,62bc3027-5335-436e-82b4-e46478acba55
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/entity/Minecart.java,getLocation
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,locationConvert
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/Location.java,getY
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/Location.java,setY
1ec59e86-e841-45fb-a846-5a8131158549,de/ar56te876mis/CraftMinecartControl/Listeners/MinecartListeners.java,onVehicleUpdateEvent,->,1ec59e86-e841-45fb-a846-5a8131158549,org/bukkit/Location.java,getBlock
