caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/async/DatabaseFactoryImpl$3.java,run,->,23e86795-c63f-4c02-b828-56395672bd8a,68f938ab-10f5-4a07-b135-266e02808eaf,89dc7936-6c1e-4ada-b17b-911bce8258f7
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/async/DatabaseFactoryImpl$3.java,run,->,23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/shared/IndexedDbException$Type.java,getType
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/async/DatabaseFactoryImpl$3.java,run,->,23e86795-c63f-4c02-b828-56395672bd8a,com/google/gwt/user/client/rpc/AsyncCallback.java,onFailure
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/async/DatabaseFactoryImpl$3.java,run,->,23e86795-c63f-4c02-b828-56395672bd8a,com/google/gwt/user/client/rpc/AsyncCallback.java,onFailure
23e86795-c63f-4c02-b828-56395672bd8a,7cebeac3-da7a-44d0-8c1a-ffa251485c20,8379ec96-0e1e-49b7-ad12-250c7c53520a,->,23e86795-c63f-4c02-b828-56395672bd8a,f4b56f62-6bb1-4691-9f1b-a2a824088ee0,51dc6c07-e9ed-4873-b91d-f79cf82df2df
23e86795-c63f-4c02-b828-56395672bd8a,50daf246-3cc3-4444-a6d8-b956f43cc399,65dc4bac-013b-4463-824a-d36061ec209e,->,23e86795-c63f-4c02-b828-56395672bd8a,f4b56f62-6bb1-4691-9f1b-a2a824088ee0,51dc6c07-e9ed-4873-b91d-f79cf82df2df
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/async/DatabaseFactoryImpl$1.java,run,->,23e86795-c63f-4c02-b828-56395672bd8a,68f938ab-10f5-4a07-b135-266e02808eaf,89dc7936-6c1e-4ada-b17b-911bce8258f7
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/async/DatabaseFactoryImpl$1.java,run,->,23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/shared/IndexedDbException$Type.java,getType
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/async/DatabaseFactoryImpl$1.java,run,->,23e86795-c63f-4c02-b828-56395672bd8a,com/google/gwt/user/client/rpc/AsyncCallback.java,onFailure
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/async/DatabaseFactoryImpl$1.java,run,->,23e86795-c63f-4c02-b828-56395672bd8a,com/google/gwt/user/client/rpc/AsyncCallback.java,onFailure
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/async/DatabaseFactoryImpl$4.java,run,->,23e86795-c63f-4c02-b828-56395672bd8a,com/google/gwt/user/client/rpc/AsyncCallback.java,onSuccess
23e86795-c63f-4c02-b828-56395672bd8a,f4b56f62-6bb1-4691-9f1b-a2a824088ee0,5b3770e1-94a5-4c75-8eeb-f4f01ff7a533,->,23e86795-c63f-4c02-b828-56395672bd8a,f4b56f62-6bb1-4691-9f1b-a2a824088ee0,51dc6c07-e9ed-4873-b91d-f79cf82df2df
23e86795-c63f-4c02-b828-56395672bd8a,f4b56f62-6bb1-4691-9f1b-a2a824088ee0,5b3770e1-94a5-4c75-8eeb-f4f01ff7a533,->,23e86795-c63f-4c02-b828-56395672bd8a,5633fd22-6400-4226-9961-e4c9185cb4a2,324b1640-7142-4a48-8a92-efa098b06048
23e86795-c63f-4c02-b828-56395672bd8a,f4b56f62-6bb1-4691-9f1b-a2a824088ee0,5b3770e1-94a5-4c75-8eeb-f4f01ff7a533,->,23e86795-c63f-4c02-b828-56395672bd8a,68f938ab-10f5-4a07-b135-266e02808eaf,b57b9988-7904-4528-b8a9-8c4ebe3fc771
23e86795-c63f-4c02-b828-56395672bd8a,f4b56f62-6bb1-4691-9f1b-a2a824088ee0,5b3770e1-94a5-4c75-8eeb-f4f01ff7a533,->,23e86795-c63f-4c02-b828-56395672bd8a,68f938ab-10f5-4a07-b135-266e02808eaf,55d046b9-4f75-4999-a36d-41b4a869f3df
23e86795-c63f-4c02-b828-56395672bd8a,f4b56f62-6bb1-4691-9f1b-a2a824088ee0,567efcbb-9154-42b2-abf4-e0c929fde03d,->,23e86795-c63f-4c02-b828-56395672bd8a,f4b56f62-6bb1-4691-9f1b-a2a824088ee0,51dc6c07-e9ed-4873-b91d-f79cf82df2df
23e86795-c63f-4c02-b828-56395672bd8a,f4b56f62-6bb1-4691-9f1b-a2a824088ee0,567efcbb-9154-42b2-abf4-e0c929fde03d,->,23e86795-c63f-4c02-b828-56395672bd8a,5633fd22-6400-4226-9961-e4c9185cb4a2,dcfaaf1c-56ad-44ba-9394-a94b7d34a820
23e86795-c63f-4c02-b828-56395672bd8a,f4b56f62-6bb1-4691-9f1b-a2a824088ee0,567efcbb-9154-42b2-abf4-e0c929fde03d,->,23e86795-c63f-4c02-b828-56395672bd8a,68f938ab-10f5-4a07-b135-266e02808eaf,b57b9988-7904-4528-b8a9-8c4ebe3fc771
23e86795-c63f-4c02-b828-56395672bd8a,f4b56f62-6bb1-4691-9f1b-a2a824088ee0,567efcbb-9154-42b2-abf4-e0c929fde03d,->,23e86795-c63f-4c02-b828-56395672bd8a,68f938ab-10f5-4a07-b135-266e02808eaf,55d046b9-4f75-4999-a36d-41b4a869f3df
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/async/DatabaseFactoryImpl$2.java,run,->,23e86795-c63f-4c02-b828-56395672bd8a,68f938ab-10f5-4a07-b135-266e02808eaf,ce0dc928-2cb6-4cd1-96b2-502e6974fcf5
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/async/DatabaseFactoryImpl$2.java,run,->,23e86795-c63f-4c02-b828-56395672bd8a,com/google/gwt/user/client/rpc/AsyncCallback.java,onSuccess
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/async/DatabaseFactoryImpl$2.java,run,->,23e86795-c63f-4c02-b828-56395672bd8a,com/google/gwt/user/client/rpc/AsyncCallback.java,onFailure
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/shared/IndexedDbException$Type.java,values,->,23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/shared/IndexedDbException$Type.java,clone
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/shared/IndexedDbException$Type.java,valueOf,->,23e86795-c63f-4c02-b828-56395672bd8a,java/lang/Enum.java,valueOf
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/shared/IndexedDbException$Type.java,getType,->,23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/shared/IndexedDbException$Type.java,values
23e86795-c63f-4c02-b828-56395672bd8a,com/prealpha/idb/shared/IndexedDbException.java,<clinit>,->,23e86795-c63f-4c02-b828-56395672bd8a,2202450b-7166-43e7-a918-6acefbe3b2da,146e9dc9-d8d6-4240-9bd7-1a800df40aff
