caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$1.java,resolveClass,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/io/ObjectStreamClass.java,getName
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$1.java,resolveClass,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/lang/Class.java,forName
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$1.java,resolveClass,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/io/ObjectInputStream.java,resolveClass
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$InputStream.java,read,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/io/InputStream.java,read
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$InputStream.java,read,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64.java,access$100
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$InputStream.java,read,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/io/InputStream.java,read
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$InputStream.java,read,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64.java,access$200
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$InputStream.java,read,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$InputStream.java,read
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,write,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/io/OutputStream.java,write
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,write,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64.java,access$300
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,write,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/io/OutputStream.java,write
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,write,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/io/OutputStream.java,write
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,write,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64.java,access$200
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,write,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/io/OutputStream.java,write
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,write,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/io/OutputStream.java,write
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,write,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,write
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,flushBase64,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64.java,access$300
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,flushBase64,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/io/OutputStream.java,write
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,close,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,flushBase64
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,close,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/io/FilterOutputStream.java,close
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,suspendEncoding,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64$OutputStream.java,flushBase64
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64.java,encode3to4,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64.java,encode3to4
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64.java,encode3to4,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64.java,getAlphabet
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64.java,encode,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/nio/ByteBuffer.java,hasRemaining
27387991-ac04-4c10-ad32-1b3e032f3a8f,Base64.java,encode,->,27387991-ac04-4c10-ad32-1b3e032f3a8f,java/nio/ByteBuffer.java,remaining
