caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,66f2b1cb-d563-438f-a871-88dbef127555,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,java/io/PrintStream.java,println
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,66f2b1cb-d563-438f-a871-88dbef127555,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,1e3a2eaf-2ba4-4b3b-878a-9a1db3562588,f8c2a387-19e4-4e40-b32f-dd8c9aa67a52
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,66f2b1cb-d563-438f-a871-88dbef127555,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,1e3a2eaf-2ba4-4b3b-878a-9a1db3562588,d8721478-be3d-4061-843d-cdcb49083a78
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,66f2b1cb-d563-438f-a871-88dbef127555,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f7ede926-a5c4-4c53-8346-8a5dc3d98779
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f0043c8f-936d-415d-b582-cf56cc717525,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,java/io/PrintStream.java,println
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f0043c8f-936d-415d-b582-cf56cc717525,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,1e3a2eaf-2ba4-4b3b-878a-9a1db3562588,f8c2a387-19e4-4e40-b32f-dd8c9aa67a52
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f0043c8f-936d-415d-b582-cf56cc717525,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,1e3a2eaf-2ba4-4b3b-878a-9a1db3562588,d8721478-be3d-4061-843d-cdcb49083a78
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f0043c8f-936d-415d-b582-cf56cc717525,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,java/lang/Thread.java,sleep
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f0043c8f-936d-415d-b582-cf56cc717525,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f7ede926-a5c4-4c53-8346-8a5dc3d98779
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f7ede926-a5c4-4c53-8346-8a5dc3d98779,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,java/awt/datatransfer/Clipboard.java,getContents
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f7ede926-a5c4-4c53-8346-8a5dc3d98779,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,java/lang/Thread.java,sleep
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f7ede926-a5c4-4c53-8346-8a5dc3d98779,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,"3d834a69-96a5-4139-9e0f-fb78c88b7a0a,5c8d236a-b688-4784-b41b-613ff053fe4b"
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f7ede926-a5c4-4c53-8346-8a5dc3d98779,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,1e3a2eaf-2ba4-4b3b-878a-9a1db3562588,f8c2a387-19e4-4e40-b32f-dd8c9aa67a52
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f7ede926-a5c4-4c53-8346-8a5dc3d98779,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,1e3a2eaf-2ba4-4b3b-878a-9a1db3562588,660f564b-c446-44d2-9f7a-1cc5a5c95e29
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f7ede926-a5c4-4c53-8346-8a5dc3d98779,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,java/io/PrintStream.java,println
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,f7ede926-a5c4-4c53-8346-8a5dc3d98779,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,7fe44765-8b19-4c5f-a526-efb39033b2f3
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,"3d834a69-96a5-4139-9e0f-fb78c88b7a0a,5c8d236a-b688-4784-b41b-613ff053fe4b",->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,java/awt/datatransfer/Clipboard.java,setContents
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,"3d834a69-96a5-4139-9e0f-fb78c88b7a0a,5c8d236a-b688-4784-b41b-613ff053fe4b",->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,"3d834a69-96a5-4139-9e0f-fb78c88b7a0a,5c8d236a-b688-4784-b41b-613ff053fe4b"
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,bdbfda96-e0d2-4485-9d90-5a69c8474221,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,java/io/PrintStream.java,println
3128d5ea-6581-433f-9ea3-fee1f3588ee4,51ca64a6-87a5-4124-bb4d-23777c7c73df,bdbfda96-e0d2-4485-9d90-5a69c8474221,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,java/lang/Thread.java,sleep
3128d5ea-6581-433f-9ea3-fee1f3588ee4,1e3a2eaf-2ba4-4b3b-878a-9a1db3562588,63e22171-2124-47e3-b494-92bb671d36f6,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,java/lang/Integer.java,valueOf
3128d5ea-6581-433f-9ea3-fee1f3588ee4,1e3a2eaf-2ba4-4b3b-878a-9a1db3562588,63e22171-2124-47e3-b494-92bb671d36f6,->,3128d5ea-6581-433f-9ea3-fee1f3588ee4,java/lang/Integer.java,valueOf
