caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,d52eff89-9e11-4679-8aee-e978ecdbc994,->,32984170-793d-48c9-acfe-4985d2152859,4df59def-babc-4b6d-abfe-d75740f34ea6,958df1d6-c8e5-4e57-9ff2-124e166ec9b9
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,d52eff89-9e11-4679-8aee-e978ecdbc994,->,32984170-793d-48c9-acfe-4985d2152859,java/lang/Exception.java,printStackTrace
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,758d0f12-9d3a-4e84-96c0-badb27dc15dc,->,32984170-793d-48c9-acfe-4985d2152859,java/lang/StringBuilder.java,append
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,758d0f12-9d3a-4e84-96c0-badb27dc15dc,->,32984170-793d-48c9-acfe-4985d2152859,java/lang/StringBuilder.java,toString
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,758d0f12-9d3a-4e84-96c0-badb27dc15dc,->,32984170-793d-48c9-acfe-4985d2152859,java/lang/System.java,currentTimeMillis
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,758d0f12-9d3a-4e84-96c0-badb27dc15dc,->,32984170-793d-48c9-acfe-4985d2152859,4df59def-babc-4b6d-abfe-d75740f34ea6,9683c45c-1fcb-42a6-8749-204a488df645
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,758d0f12-9d3a-4e84-96c0-badb27dc15dc,->,32984170-793d-48c9-acfe-4985d2152859,java/lang/System.java,currentTimeMillis
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,758d0f12-9d3a-4e84-96c0-badb27dc15dc,->,32984170-793d-48c9-acfe-4985d2152859,java/io/PrintStream.java,println
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,1fd74bfc-f5ee-40f0-90b9-222fe8749510,->,32984170-793d-48c9-acfe-4985d2152859,java/util/Arrays.java,asList
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,1fd74bfc-f5ee-40f0-90b9-222fe8749510,->,32984170-793d-48c9-acfe-4985d2152859,4df59def-babc-4b6d-abfe-d75740f34ea6,83bedc8c-7a0e-4e25-8719-966aef1e9fff
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,1fd74bfc-f5ee-40f0-90b9-222fe8749510,->,32984170-793d-48c9-acfe-4985d2152859,java/util/List.java,equals
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,1fd74bfc-f5ee-40f0-90b9-222fe8749510,->,32984170-793d-48c9-acfe-4985d2152859,org/junit/Assert.java,assertTrue
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,bb561d63-b8e5-4cd4-a823-60a4a9ab1e84,->,32984170-793d-48c9-acfe-4985d2152859,java/util/Arrays.java,asList
32984170-793d-48c9-acfe-4985d2152859,f2512670-6bfd-4592-bf71-a96847a1251c,bb561d63-b8e5-4cd4-a823-60a4a9ab1e84,->,32984170-793d-48c9-acfe-4985d2152859,4df59def-babc-4b6d-abfe-d75740f34ea6,83bedc8c-7a0e-4e25-8719-966aef1e9fff
