caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
3cb78250-d61f-4275-9574-b624a6d0c9e9,63a4c662-0c2b-41d7-8bc5-2217c7522b71,5321d6d4-174c-4466-9a44-963ebbbe9040,->,3cb78250-d61f-4275-9574-b624a6d0c9e9,java/lang/StringBuilder.java,append
3cb78250-d61f-4275-9574-b624a6d0c9e9,63a4c662-0c2b-41d7-8bc5-2217c7522b71,5321d6d4-174c-4466-9a44-963ebbbe9040,->,3cb78250-d61f-4275-9574-b624a6d0c9e9,a0ec97bf-6152-4d0a-ac5d-d5403306c460,e8a1d4f2-addc-4a6d-88c4-c7d3e68264db
3cb78250-d61f-4275-9574-b624a6d0c9e9,63a4c662-0c2b-41d7-8bc5-2217c7522b71,5321d6d4-174c-4466-9a44-963ebbbe9040,->,3cb78250-d61f-4275-9574-b624a6d0c9e9,java/lang/StringBuilder.java,append
3cb78250-d61f-4275-9574-b624a6d0c9e9,63a4c662-0c2b-41d7-8bc5-2217c7522b71,5321d6d4-174c-4466-9a44-963ebbbe9040,->,3cb78250-d61f-4275-9574-b624a6d0c9e9,java/lang/StringBuilder.java,toString
3cb78250-d61f-4275-9574-b624a6d0c9e9,63a4c662-0c2b-41d7-8bc5-2217c7522b71,5321d6d4-174c-4466-9a44-963ebbbe9040,->,3cb78250-d61f-4275-9574-b624a6d0c9e9,java/util/logging/Logger.java,info
3cb78250-d61f-4275-9574-b624a6d0c9e9,63a4c662-0c2b-41d7-8bc5-2217c7522b71,5321d6d4-174c-4466-9a44-963ebbbe9040,->,3cb78250-d61f-4275-9574-b624a6d0c9e9,javax/persistence/EntityManager.java,persist
3cb78250-d61f-4275-9574-b624a6d0c9e9,63a4c662-0c2b-41d7-8bc5-2217c7522b71,5321d6d4-174c-4466-9a44-963ebbbe9040,->,3cb78250-d61f-4275-9574-b624a6d0c9e9,javax/enterprise/event/Event.java,fire
3cb78250-d61f-4275-9574-b624a6d0c9e9,63a4c662-0c2b-41d7-8bc5-2217c7522b71,5321d6d4-174c-4466-9a44-963ebbbe9040,->,3cb78250-d61f-4275-9574-b624a6d0c9e9,63a4c662-0c2b-41d7-8bc5-2217c7522b71,49e96351-3def-481c-adb3-7bfa123ae669
3cb78250-d61f-4275-9574-b624a6d0c9e9,02d740d3-d382-47c8-b989-e6c63b381fd1,12dd042c-fc16-4ab9-899e-d33e52337715,->,3cb78250-d61f-4275-9574-b624a6d0c9e9,javax/enterprise/inject/spi/InjectionPoint.java,getMember
3cb78250-d61f-4275-9574-b624a6d0c9e9,02d740d3-d382-47c8-b989-e6c63b381fd1,12dd042c-fc16-4ab9-899e-d33e52337715,->,3cb78250-d61f-4275-9574-b624a6d0c9e9,java/lang/reflect/Member.java,getDeclaringClass
