caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
3d88a649-9815-4633-9961-bfb196a1ec08,77cf8182-6a37-4948-ae4a-78e5d1adb0ef,fee49bf9-b097-4fda-9d17-88b8b351a7f8,->,3d88a649-9815-4633-9961-bfb196a1ec08,java/util/logging/Logger.java,info
3d88a649-9815-4633-9961-bfb196a1ec08,77cf8182-6a37-4948-ae4a-78e5d1adb0ef,fee49bf9-b097-4fda-9d17-88b8b351a7f8,->,3d88a649-9815-4633-9961-bfb196a1ec08,edce7bec-c960-4db7-8f66-9ff68a9e57f1,b40b2325-7125-4bdc-85c4-114f931b9544
3d88a649-9815-4633-9961-bfb196a1ec08,77cf8182-6a37-4948-ae4a-78e5d1adb0ef,fee49bf9-b097-4fda-9d17-88b8b351a7f8,->,3d88a649-9815-4633-9961-bfb196a1ec08,edce7bec-c960-4db7-8f66-9ff68a9e57f1,66b52ef3-fced-414e-95a2-a8b30da5763d
3d88a649-9815-4633-9961-bfb196a1ec08,77cf8182-6a37-4948-ae4a-78e5d1adb0ef,fee49bf9-b097-4fda-9d17-88b8b351a7f8,->,3d88a649-9815-4633-9961-bfb196a1ec08,javax/persistence/EntityManager.java,persist
3d88a649-9815-4633-9961-bfb196a1ec08,77cf8182-6a37-4948-ae4a-78e5d1adb0ef,fee49bf9-b097-4fda-9d17-88b8b351a7f8,->,3d88a649-9815-4633-9961-bfb196a1ec08,dd4b734a-f72a-4bb5-9f81-2b1e448d7f60,bf91b061-28fa-49f5-820a-a53a4a29c975
3d88a649-9815-4633-9961-bfb196a1ec08,77cf8182-6a37-4948-ae4a-78e5d1adb0ef,fee49bf9-b097-4fda-9d17-88b8b351a7f8,->,3d88a649-9815-4633-9961-bfb196a1ec08,dd4b734a-f72a-4bb5-9f81-2b1e448d7f60,c2ff8cfc-47d5-49e9-b844-1f2e2ec75caf
3d88a649-9815-4633-9961-bfb196a1ec08,77cf8182-6a37-4948-ae4a-78e5d1adb0ef,fee49bf9-b097-4fda-9d17-88b8b351a7f8,->,3d88a649-9815-4633-9961-bfb196a1ec08,javax/persistence/EntityManager.java,persist
3d88a649-9815-4633-9961-bfb196a1ec08,dk/topee/panis/business/login/control/CreateAdministrator.java,<clinit>,->,3d88a649-9815-4633-9961-bfb196a1ec08,java/lang/Class.java,getName
3d88a649-9815-4633-9961-bfb196a1ec08,dk/topee/panis/business/login/control/CreateAdministrator.java,<clinit>,->,3d88a649-9815-4633-9961-bfb196a1ec08,java/util/logging/Logger.java,getLogger
3d88a649-9815-4633-9961-bfb196a1ec08,2249bfcf-407c-4891-a57b-216dbae1f6d9,4b6f2cbe-484d-48d5-9885-9fc3eab48f18,->,3d88a649-9815-4633-9961-bfb196a1ec08,javax/persistence/EntityManager.java,createNamedQuery
3d88a649-9815-4633-9961-bfb196a1ec08,2249bfcf-407c-4891-a57b-216dbae1f6d9,4b6f2cbe-484d-48d5-9885-9fc3eab48f18,->,3d88a649-9815-4633-9961-bfb196a1ec08,f2a9c850-41c2-4b38-bee5-0244ca047441,d73be1d9-9b49-4a1e-bca3-eeccbe4e92ef
3d88a649-9815-4633-9961-bfb196a1ec08,2249bfcf-407c-4891-a57b-216dbae1f6d9,4b6f2cbe-484d-48d5-9885-9fc3eab48f18,->,3d88a649-9815-4633-9961-bfb196a1ec08,javax/persistence/TypedQuery.java,setParameter
3d88a649-9815-4633-9961-bfb196a1ec08,2249bfcf-407c-4891-a57b-216dbae1f6d9,4b6f2cbe-484d-48d5-9885-9fc3eab48f18,->,3d88a649-9815-4633-9961-bfb196a1ec08,f2a9c850-41c2-4b38-bee5-0244ca047441,8f086b28-d7d8-49c9-a56b-78d4920df784
3d88a649-9815-4633-9961-bfb196a1ec08,2249bfcf-407c-4891-a57b-216dbae1f6d9,4b6f2cbe-484d-48d5-9885-9fc3eab48f18,->,3d88a649-9815-4633-9961-bfb196a1ec08,javax/persistence/TypedQuery.java,setParameter
3d88a649-9815-4633-9961-bfb196a1ec08,2249bfcf-407c-4891-a57b-216dbae1f6d9,4b6f2cbe-484d-48d5-9885-9fc3eab48f18,->,3d88a649-9815-4633-9961-bfb196a1ec08,javax/persistence/TypedQuery.java,getSingleResult
3d88a649-9815-4633-9961-bfb196a1ec08,2249bfcf-407c-4891-a57b-216dbae1f6d9,4b6f2cbe-484d-48d5-9885-9fc3eab48f18,->,3d88a649-9815-4633-9961-bfb196a1ec08,javax/persistence/EntityManager.java,createNamedQuery
3d88a649-9815-4633-9961-bfb196a1ec08,2249bfcf-407c-4891-a57b-216dbae1f6d9,4b6f2cbe-484d-48d5-9885-9fc3eab48f18,->,3d88a649-9815-4633-9961-bfb196a1ec08,edce7bec-c960-4db7-8f66-9ff68a9e57f1,cad03af3-46b7-4cf7-b221-6f96d3ccfef5
