caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD$1.java,run,->,41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD.java,access$100
41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD$1.java,run,->,41fface4-2af1-4b59-8427-768a153c4340,java/net/ServerSocket.java,accept
41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD$1.java,run,->,41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,65676e47-c2b4-407a-b386-8abef7c86732
41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD$1.java,run,->,41fface4-2af1-4b59-8427-768a153c4340,java/net/Socket.java,setSoTimeout
41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD$1.java,run,->,41fface4-2af1-4b59-8427-768a153c4340,java/net/Socket.java,getInputStream
41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD$1.java,run,->,41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD.java,access$500
41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD$1.java,run,->,41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD$AsyncRunner.java,exec
41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD$1.java,run,->,41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD.java,access$100
41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD$1.java,run,->,41fface4-2af1-4b59-8427-768a153c4340,java/net/ServerSocket.java,isClosed
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,9d18c979-63bd-41e7-9f5b-6668c11e1a5a,->,41fface4-2af1-4b59-8427-768a153c4340,java/lang/Class.java,newInstance
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,9d18c979-63bd-41e7-9f5b-6668c11e1a5a,->,41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,f283007c-21d8-454b-8855-20e6cafb21b9
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,9d18c979-63bd-41e7-9f5b-6668c11e1a5a,->,41fface4-2af1-4b59-8427-768a153c4340,java/lang/Exception.java,printStackTrace
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,f283007c-21d8-454b-8855-20e6cafb21b9,->,41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,72416353-acc2-4c98-8b52-945fbf6e24d1
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,f283007c-21d8-454b-8855-20e6cafb21b9,->,41fface4-2af1-4b59-8427-768a153c4340,java/lang/StringBuilder.java,append
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,f283007c-21d8-454b-8855-20e6cafb21b9,->,41fface4-2af1-4b59-8427-768a153c4340,java/lang/StringBuilder.java,append
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,f283007c-21d8-454b-8855-20e6cafb21b9,->,41fface4-2af1-4b59-8427-768a153c4340,java/lang/StringBuilder.java,toString
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,f283007c-21d8-454b-8855-20e6cafb21b9,->,41fface4-2af1-4b59-8427-768a153c4340,java/io/PrintStream.java,println
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,f283007c-21d8-454b-8855-20e6cafb21b9,->,41fface4-2af1-4b59-8427-768a153c4340,java/lang/System.java,exit
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,f283007c-21d8-454b-8855-20e6cafb21b9,->,41fface4-2af1-4b59-8427-768a153c4340,java/io/PrintStream.java,println
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,f283007c-21d8-454b-8855-20e6cafb21b9,->,41fface4-2af1-4b59-8427-768a153c4340,java/io/InputStream.java,read
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,f283007c-21d8-454b-8855-20e6cafb21b9,->,41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,b451aa6a-debb-4d6c-b9d2-47f0a6b9b3bf
41fface4-2af1-4b59-8427-768a153c4340,180039db-eddb-456b-8bae-a3ee811ac280,f283007c-21d8-454b-8855-20e6cafb21b9,->,41fface4-2af1-4b59-8427-768a153c4340,java/io/PrintStream.java,println
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,"26caeb81-8f30-48f4-a93c-a86df9ffbe9e,f11f76db-a60f-49df-9b1f-3926d1be4e94,ccd0d127-6e2c-441f-b51f-9591824c21ec",->,41fface4-2af1-4b59-8427-768a153c4340,java/io/Closeable.java,close
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,"26caeb81-8f30-48f4-a93c-a86df9ffbe9e,f11f76db-a60f-49df-9b1f-3926d1be4e94,ccd0d127-6e2c-441f-b51f-9591824c21ec",->,41fface4-2af1-4b59-8427-768a153c4340,java/net/Socket.java,close
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,"26caeb81-8f30-48f4-a93c-a86df9ffbe9e,f11f76db-a60f-49df-9b1f-3926d1be4e94,ccd0d127-6e2c-441f-b51f-9591824c21ec",->,41fface4-2af1-4b59-8427-768a153c4340,java/net/ServerSocket.java,close
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,72416353-acc2-4c98-8b52-945fbf6e24d1,->,41fface4-2af1-4b59-8427-768a153c4340,java/net/ServerSocket.java,bind
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,72416353-acc2-4c98-8b52-945fbf6e24d1,->,41fface4-2af1-4b59-8427-768a153c4340,java/lang/Thread.java,setDaemon
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,72416353-acc2-4c98-8b52-945fbf6e24d1,->,41fface4-2af1-4b59-8427-768a153c4340,java/lang/Thread.java,setName
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,72416353-acc2-4c98-8b52-945fbf6e24d1,->,41fface4-2af1-4b59-8427-768a153c4340,java/lang/Thread.java,start
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,b451aa6a-debb-4d6c-b9d2-47f0a6b9b3bf,->,41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,"26caeb81-8f30-48f4-a93c-a86df9ffbe9e,f11f76db-a60f-49df-9b1f-3926d1be4e94,ccd0d127-6e2c-441f-b51f-9591824c21ec"
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,b451aa6a-debb-4d6c-b9d2-47f0a6b9b3bf,->,41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,f63fb819-a3f5-41e2-a55c-323fbbda4832
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,b451aa6a-debb-4d6c-b9d2-47f0a6b9b3bf,->,41fface4-2af1-4b59-8427-768a153c4340,java/lang/Thread.java,join
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,b451aa6a-debb-4d6c-b9d2-47f0a6b9b3bf,->,41fface4-2af1-4b59-8427-768a153c4340,java/lang/Exception.java,printStackTrace
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,65676e47-c2b4-407a-b386-8abef7c86732,->,41fface4-2af1-4b59-8427-768a153c4340,java/util/Set.java,add
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,b703adda-e1f2-4d04-ac9d-68478602b6e2,->,41fface4-2af1-4b59-8427-768a153c4340,java/util/Set.java,remove
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,f63fb819-a3f5-41e2-a55c-323fbbda4832,->,41fface4-2af1-4b59-8427-768a153c4340,java/util/Set.java,iterator
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,f63fb819-a3f5-41e2-a55c-323fbbda4832,->,41fface4-2af1-4b59-8427-768a153c4340,java/util/Iterator.java,hasNext
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,f63fb819-a3f5-41e2-a55c-323fbbda4832,->,41fface4-2af1-4b59-8427-768a153c4340,java/util/Iterator.java,next
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,f63fb819-a3f5-41e2-a55c-323fbbda4832,->,41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,"26caeb81-8f30-48f4-a93c-a86df9ffbe9e,f11f76db-a60f-49df-9b1f-3926d1be4e94,ccd0d127-6e2c-441f-b51f-9591824c21ec"
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,de60b1f1-5613-41b4-9852-65fb7f7c5473,->,41fface4-2af1-4b59-8427-768a153c4340,java/net/ServerSocket.java,getLocalPort
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,63c95296-ec92-4f71-802d-78ba4fc3fa8b,->,41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,091b272f-c1c5-48fa-84e3-11e77574c798
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,63c95296-ec92-4f71-802d-78ba4fc3fa8b,->,41fface4-2af1-4b59-8427-768a153c4340,java/net/ServerSocket.java,isClosed
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,63c95296-ec92-4f71-802d-78ba4fc3fa8b,->,41fface4-2af1-4b59-8427-768a153c4340,java/lang/Thread.java,isAlive
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,e394486d-e905-47ae-bfbd-fdec0835e666,->,41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD$IHTTPSession.java,getMethod
41fface4-2af1-4b59-8427-768a153c4340,dbbb6a30-f421-48c0-8a58-e6b140965f28,e394486d-e905-47ae-bfbd-fdec0835e666,->,41fface4-2af1-4b59-8427-768a153c4340,fi/iki/elonen/NanoHTTPD$Method.java,equals
