caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
46b7d238-e61c-4979-84fe-b86bfaa8ad9a,nl/thijsmolendijk/Condensers/CondensTimer$1.java,run,->,46b7d238-e61c-4979-84fe-b86bfaa8ad9a,java/util/List.java,iterator
46b7d238-e61c-4979-84fe-b86bfaa8ad9a,nl/thijsmolendijk/Condensers/CondensTimer$1.java,run,->,46b7d238-e61c-4979-84fe-b86bfaa8ad9a,java/util/Iterator.java,hasNext
46b7d238-e61c-4979-84fe-b86bfaa8ad9a,nl/thijsmolendijk/Condensers/CondensTimer$1.java,run,->,46b7d238-e61c-4979-84fe-b86bfaa8ad9a,java/util/Iterator.java,next
46b7d238-e61c-4979-84fe-b86bfaa8ad9a,nl/thijsmolendijk/Condensers/CondensTimer$1.java,run,->,46b7d238-e61c-4979-84fe-b86bfaa8ad9a,99409d25-47ed-4d25-b912-0177a4ad764a,05d8bae2-71f6-4876-8634-d638ba07e90a
46b7d238-e61c-4979-84fe-b86bfaa8ad9a,nl/thijsmolendijk/Condensers/CondensTimer$1.java,run,->,46b7d238-e61c-4979-84fe-b86bfaa8ad9a,org/bukkit/inventory/ItemStack.java,getType
46b7d238-e61c-4979-84fe-b86bfaa8ad9a,nl/thijsmolendijk/Condensers/CondensTimer$1.java,run,->,46b7d238-e61c-4979-84fe-b86bfaa8ad9a,org/bukkit/inventory/Inventory.java,getItem
46b7d238-e61c-4979-84fe-b86bfaa8ad9a,nl/thijsmolendijk/Condensers/CondensTimer$1.java,run,->,46b7d238-e61c-4979-84fe-b86bfaa8ad9a,org/bukkit/inventory/ItemStack.java,getType
46b7d238-e61c-4979-84fe-b86bfaa8ad9a,nl/thijsmolendijk/Condensers/CondensTimer$1.java,run,->,46b7d238-e61c-4979-84fe-b86bfaa8ad9a,org/bukkit/inventory/ItemStack.java,isSimilar
46b7d238-e61c-4979-84fe-b86bfaa8ad9a,nl/thijsmolendijk/Condensers/CondensTimer$1.java,run,->,46b7d238-e61c-4979-84fe-b86bfaa8ad9a,4d15db79-7f9c-49cf-8583-a334ab452ddb,a0798758-c31f-4bed-baf5-ed7cd5fd9df0
46b7d238-e61c-4979-84fe-b86bfaa8ad9a,nl/thijsmolendijk/Condensers/CondensTimer$1.java,run,->,46b7d238-e61c-4979-84fe-b86bfaa8ad9a,4d15db79-7f9c-49cf-8583-a334ab452ddb,a0798758-c31f-4bed-baf5-ed7cd5fd9df0
