caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
48371c74-bbaa-4614-8ace-cab522fd9590,e0fafba1-1541-4c3a-901e-a1fd7c76f437,6f088d47-e35a-45f1-841d-5919694d3624,->,48371c74-bbaa-4614-8ace-cab522fd9590,e0fafba1-1541-4c3a-901e-a1fd7c76f437,b32c8ce1-570a-47f6-ab03-3c37a732722d
48371c74-bbaa-4614-8ace-cab522fd9590,e0fafba1-1541-4c3a-901e-a1fd7c76f437,b32c8ce1-570a-47f6-ab03-3c37a732722d,->,48371c74-bbaa-4614-8ace-cab522fd9590,java/lang/Object.java,getClass
48371c74-bbaa-4614-8ace-cab522fd9590,e0fafba1-1541-4c3a-901e-a1fd7c76f437,b32c8ce1-570a-47f6-ab03-3c37a732722d,->,48371c74-bbaa-4614-8ace-cab522fd9590,java/lang/Class.java,getSimpleName
48371c74-bbaa-4614-8ace-cab522fd9590,e0fafba1-1541-4c3a-901e-a1fd7c76f437,b32c8ce1-570a-47f6-ab03-3c37a732722d,->,48371c74-bbaa-4614-8ace-cab522fd9590,java/lang/StringBuilder.java,append
48371c74-bbaa-4614-8ace-cab522fd9590,e0fafba1-1541-4c3a-901e-a1fd7c76f437,b32c8ce1-570a-47f6-ab03-3c37a732722d,->,48371c74-bbaa-4614-8ace-cab522fd9590,java/lang/StringBuilder.java,append
48371c74-bbaa-4614-8ace-cab522fd9590,e0fafba1-1541-4c3a-901e-a1fd7c76f437,b32c8ce1-570a-47f6-ab03-3c37a732722d,->,48371c74-bbaa-4614-8ace-cab522fd9590,java/lang/Object.java,hashCode
48371c74-bbaa-4614-8ace-cab522fd9590,e0fafba1-1541-4c3a-901e-a1fd7c76f437,b32c8ce1-570a-47f6-ab03-3c37a732722d,->,48371c74-bbaa-4614-8ace-cab522fd9590,java/lang/StringBuilder.java,append
48371c74-bbaa-4614-8ace-cab522fd9590,e0fafba1-1541-4c3a-901e-a1fd7c76f437,b32c8ce1-570a-47f6-ab03-3c37a732722d,->,48371c74-bbaa-4614-8ace-cab522fd9590,java/lang/StringBuilder.java,append
48371c74-bbaa-4614-8ace-cab522fd9590,e0fafba1-1541-4c3a-901e-a1fd7c76f437,b32c8ce1-570a-47f6-ab03-3c37a732722d,->,48371c74-bbaa-4614-8ace-cab522fd9590,java/lang/StringBuilder.java,toString
48371c74-bbaa-4614-8ace-cab522fd9590,e0fafba1-1541-4c3a-901e-a1fd7c76f437,47346384-0f98-43e7-8998-c953c4a51d00,->,48371c74-bbaa-4614-8ace-cab522fd9590,9910b15b-109b-4a72-abb2-1d76da4e4f6f,8983461c-757c-4403-9be1-e0f1f6793e63
