caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
4fb74238-860b-4cd2-bce4-2aeb97336b81,1e9ca681-af72-41d6-8b72-f2bc4aa0d639,ffbb70f4-155d-44ef-8de7-e010f32f83f6,->,4fb74238-860b-4cd2-bce4-2aeb97336b81,java/util/UUID.java,randomUUID
4fb74238-860b-4cd2-bce4-2aeb97336b81,1e9ca681-af72-41d6-8b72-f2bc4aa0d639,ffbb70f4-155d-44ef-8de7-e010f32f83f6,->,4fb74238-860b-4cd2-bce4-2aeb97336b81,java/util/UUID.java,toString
4fb74238-860b-4cd2-bce4-2aeb97336b81,1e9ca681-af72-41d6-8b72-f2bc4aa0d639,ffbb70f4-155d-44ef-8de7-e010f32f83f6,->,4fb74238-860b-4cd2-bce4-2aeb97336b81,java/lang/String.java,replace
4fb74238-860b-4cd2-bce4-2aeb97336b81,f26a82dd-3411-4d93-ada6-167e90210e26,52a971d6-a3bc-4211-ba66-4f96818e07a8,->,4fb74238-860b-4cd2-bce4-2aeb97336b81,f26a82dd-3411-4d93-ada6-167e90210e26,06276bc4-e6c0-4e05-8e92-c096f43fdad7
4fb74238-860b-4cd2-bce4-2aeb97336b81,f26a82dd-3411-4d93-ada6-167e90210e26,52a971d6-a3bc-4211-ba66-4f96818e07a8,->,4fb74238-860b-4cd2-bce4-2aeb97336b81,java/util/Map.java,put
4fb74238-860b-4cd2-bce4-2aeb97336b81,f26a82dd-3411-4d93-ada6-167e90210e26,0965e72c-ee84-45ff-9a1b-f243e1514a7d,->,4fb74238-860b-4cd2-bce4-2aeb97336b81,java/util/Map.java,remove
4fb74238-860b-4cd2-bce4-2aeb97336b81,f26a82dd-3411-4d93-ada6-167e90210e26,a04575d3-a1e6-40dd-bf86-8bd65d57b2bb,->,4fb74238-860b-4cd2-bce4-2aeb97336b81,ec923e11-c071-4039-9c36-f7fafae2ad98,0de41f55-f94a-4675-8b31-e81d05c774ae
4fb74238-860b-4cd2-bce4-2aeb97336b81,f26a82dd-3411-4d93-ada6-167e90210e26,a04575d3-a1e6-40dd-bf86-8bd65d57b2bb,->,4fb74238-860b-4cd2-bce4-2aeb97336b81,ec923e11-c071-4039-9c36-f7fafae2ad98,2ce55c31-477a-44f6-a531-1c842dac776b
4fb74238-860b-4cd2-bce4-2aeb97336b81,f26a82dd-3411-4d93-ada6-167e90210e26,a04575d3-a1e6-40dd-bf86-8bd65d57b2bb,->,4fb74238-860b-4cd2-bce4-2aeb97336b81,java/util/Map.java,put
4fb74238-860b-4cd2-bce4-2aeb97336b81,f26a82dd-3411-4d93-ada6-167e90210e26,32eea395-f885-4980-9385-c02b9028d5ef,->,4fb74238-860b-4cd2-bce4-2aeb97336b81,java/util/Map.java,remove
4fb74238-860b-4cd2-bce4-2aeb97336b81,com/viathink/pas/impl/DefaultPASNode$ReadCompletionHandler.java,completed,->,4fb74238-860b-4cd2-bce4-2aeb97336b81,java/lang/Integer.java,intValue
4fb74238-860b-4cd2-bce4-2aeb97336b81,com/viathink/pas/impl/DefaultPASNode$ReadCompletionHandler.java,completed,->,4fb74238-860b-4cd2-bce4-2aeb97336b81,25f5d63d-59a2-469c-a585-eb4fcd01d91c,bf317b00-b46c-407a-a7a3-98d9e6e0082d
