caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
5a0b1d3b-2562-4afb-9a80-f2925db99af0,12b9b860-fecf-402e-8222-4b0304a62bfe,12f24396-b96b-4366-a878-c8c87e4d1900,->,5a0b1d3b-2562-4afb-9a80-f2925db99af0,java/lang/System.java,exit
5a0b1d3b-2562-4afb-9a80-f2925db99af0,12b9b860-fecf-402e-8222-4b0304a62bfe,f8aa64b6-11c7-4c94-973e-c44716e9ab6e,->,5a0b1d3b-2562-4afb-9a80-f2925db99af0,java/awt/event/ActionEvent.java,getSource
5a0b1d3b-2562-4afb-9a80-f2925db99af0,12b9b860-fecf-402e-8222-4b0304a62bfe,f8aa64b6-11c7-4c94-973e-c44716e9ab6e,->,5a0b1d3b-2562-4afb-9a80-f2925db99af0,javax/swing/JButton.java,setIcon
5a0b1d3b-2562-4afb-9a80-f2925db99af0,12b9b860-fecf-402e-8222-4b0304a62bfe,f8aa64b6-11c7-4c94-973e-c44716e9ab6e,->,5a0b1d3b-2562-4afb-9a80-f2925db99af0,javax/swing/JButton.java,setEnabled
5a0b1d3b-2562-4afb-9a80-f2925db99af0,12b9b860-fecf-402e-8222-4b0304a62bfe,f8aa64b6-11c7-4c94-973e-c44716e9ab6e,->,5a0b1d3b-2562-4afb-9a80-f2925db99af0,java/awt/event/ActionEvent.java,getSource
5a0b1d3b-2562-4afb-9a80-f2925db99af0,12b9b860-fecf-402e-8222-4b0304a62bfe,f8aa64b6-11c7-4c94-973e-c44716e9ab6e,->,5a0b1d3b-2562-4afb-9a80-f2925db99af0,javax/swing/JButton.java,setIcon
5a0b1d3b-2562-4afb-9a80-f2925db99af0,12b9b860-fecf-402e-8222-4b0304a62bfe,f8aa64b6-11c7-4c94-973e-c44716e9ab6e,->,5a0b1d3b-2562-4afb-9a80-f2925db99af0,javax/swing/JButton.java,setEnabled
5a0b1d3b-2562-4afb-9a80-f2925db99af0,12b9b860-fecf-402e-8222-4b0304a62bfe,f8aa64b6-11c7-4c94-973e-c44716e9ab6e,->,5a0b1d3b-2562-4afb-9a80-f2925db99af0,java/awt/event/ActionEvent.java,getSource
5a0b1d3b-2562-4afb-9a80-f2925db99af0,12b9b860-fecf-402e-8222-4b0304a62bfe,f8aa64b6-11c7-4c94-973e-c44716e9ab6e,->,5a0b1d3b-2562-4afb-9a80-f2925db99af0,javax/swing/JButton.java,setIcon
5a0b1d3b-2562-4afb-9a80-f2925db99af0,12b9b860-fecf-402e-8222-4b0304a62bfe,f8aa64b6-11c7-4c94-973e-c44716e9ab6e,->,5a0b1d3b-2562-4afb-9a80-f2925db99af0,javax/swing/JButton.java,setEnabled
