caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
5d1151b2-5c35-45d1-90c3-815642475d98,ae1715f5-a8f1-4dff-8663-03fa3075e45c,f7b59b5f-eb75-4dac-9145-7fde6bb1a17c,->,5d1151b2-5c35-45d1-90c3-815642475d98,java/io/PrintStream.java,println
5d1151b2-5c35-45d1-90c3-815642475d98,ae1715f5-a8f1-4dff-8663-03fa3075e45c,f7b59b5f-eb75-4dac-9145-7fde6bb1a17c,->,5d1151b2-5c35-45d1-90c3-815642475d98,b6dedc54-6544-4698-ab7d-52a70baf0d04,bebb608b-c648-48a9-aeff-8a4d24d32337
5d1151b2-5c35-45d1-90c3-815642475d98,ae1715f5-a8f1-4dff-8663-03fa3075e45c,f7b59b5f-eb75-4dac-9145-7fde6bb1a17c,->,5d1151b2-5c35-45d1-90c3-815642475d98,java/io/PrintStream.java,println
5d1151b2-5c35-45d1-90c3-815642475d98,ae1715f5-a8f1-4dff-8663-03fa3075e45c,f7b59b5f-eb75-4dac-9145-7fde6bb1a17c,->,5d1151b2-5c35-45d1-90c3-815642475d98,b7f91c72-a887-4802-80f9-d12e654eb44c,a01ded2d-710a-499b-bfee-803189f3c5ed
5d1151b2-5c35-45d1-90c3-815642475d98,ae1715f5-a8f1-4dff-8663-03fa3075e45c,f7b59b5f-eb75-4dac-9145-7fde6bb1a17c,->,5d1151b2-5c35-45d1-90c3-815642475d98,java/io/PrintStream.java,println
5d1151b2-5c35-45d1-90c3-815642475d98,ae1715f5-a8f1-4dff-8663-03fa3075e45c,f7b59b5f-eb75-4dac-9145-7fde6bb1a17c,->,5d1151b2-5c35-45d1-90c3-815642475d98,b1653c63-1ae1-4160-b445-1d5700969fca,cbe1eaf7-4af8-4663-9387-b58e9b348753
5d1151b2-5c35-45d1-90c3-815642475d98,ae1715f5-a8f1-4dff-8663-03fa3075e45c,f7b59b5f-eb75-4dac-9145-7fde6bb1a17c,->,5d1151b2-5c35-45d1-90c3-815642475d98,java/io/PrintStream.java,println
5d1151b2-5c35-45d1-90c3-815642475d98,ae1715f5-a8f1-4dff-8663-03fa3075e45c,f7b59b5f-eb75-4dac-9145-7fde6bb1a17c,->,5d1151b2-5c35-45d1-90c3-815642475d98,b6bd6547-e8ad-4b12-acde-452fc0b1c07c,d7e50e41-8b4f-4e73-a40e-7d04a1c38b02
5d1151b2-5c35-45d1-90c3-815642475d98,b6bd6547-e8ad-4b12-acde-452fc0b1c07c,eb0fd7f2-cf52-47d7-adcf-19c64c96689e,->,5d1151b2-5c35-45d1-90c3-815642475d98,b1653c63-1ae1-4160-b445-1d5700969fca,f2444687-48ba-420e-bf64-603acaa4ec82
5d1151b2-5c35-45d1-90c3-815642475d98,b6bd6547-e8ad-4b12-acde-452fc0b1c07c,6802c891-ca88-4d6d-b7e8-293270d012a9,->,5d1151b2-5c35-45d1-90c3-815642475d98,b1653c63-1ae1-4160-b445-1d5700969fca,0a98dbc3-d9fa-4d27-b59e-114a116c5162
5d1151b2-5c35-45d1-90c3-815642475d98,b6bd6547-e8ad-4b12-acde-452fc0b1c07c,199367d9-8084-4be4-aa75-ab3574314464,->,5d1151b2-5c35-45d1-90c3-815642475d98,b1653c63-1ae1-4160-b445-1d5700969fca,056eb729-9cd8-47e9-a15d-b7487a36bf51
5d1151b2-5c35-45d1-90c3-815642475d98,b6bd6547-e8ad-4b12-acde-452fc0b1c07c,199367d9-8084-4be4-aa75-ab3574314464,->,5d1151b2-5c35-45d1-90c3-815642475d98,java/lang/StringBuilder.java,append
5d1151b2-5c35-45d1-90c3-815642475d98,b6bd6547-e8ad-4b12-acde-452fc0b1c07c,199367d9-8084-4be4-aa75-ab3574314464,->,5d1151b2-5c35-45d1-90c3-815642475d98,b1653c63-1ae1-4160-b445-1d5700969fca,0a98dbc3-d9fa-4d27-b59e-114a116c5162
