caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
62f1a3c9-fcf2-4692-bd7b-7836cf462394,2a3df119-f8b3-4c63-b07d-98572390f21c,f209acce-3fd2-4441-aeaa-fc41a00316f7,->,62f1a3c9-fcf2-4692-bd7b-7836cf462394,5fbe3a77-2361-4b26-80ea-6838a9a977aa,36e73d48-5520-4445-991b-3d8bfd77850b
62f1a3c9-fcf2-4692-bd7b-7836cf462394,2a3df119-f8b3-4c63-b07d-98572390f21c,52319799-6581-4b8b-b10d-4c36869f3ec1,->,62f1a3c9-fcf2-4692-bd7b-7836cf462394,java/util/Calendar.java,getInstance
62f1a3c9-fcf2-4692-bd7b-7836cf462394,2a3df119-f8b3-4c63-b07d-98572390f21c,52319799-6581-4b8b-b10d-4c36869f3ec1,->,62f1a3c9-fcf2-4692-bd7b-7836cf462394,java/util/Calendar.java,set
62f1a3c9-fcf2-4692-bd7b-7836cf462394,2a3df119-f8b3-4c63-b07d-98572390f21c,52319799-6581-4b8b-b10d-4c36869f3ec1,->,62f1a3c9-fcf2-4692-bd7b-7836cf462394,java/util/Calendar.java,set
62f1a3c9-fcf2-4692-bd7b-7836cf462394,2a3df119-f8b3-4c63-b07d-98572390f21c,52319799-6581-4b8b-b10d-4c36869f3ec1,->,62f1a3c9-fcf2-4692-bd7b-7836cf462394,java/util/Calendar.java,set
62f1a3c9-fcf2-4692-bd7b-7836cf462394,2a3df119-f8b3-4c63-b07d-98572390f21c,52319799-6581-4b8b-b10d-4c36869f3ec1,->,62f1a3c9-fcf2-4692-bd7b-7836cf462394,java/util/Calendar.java,set
62f1a3c9-fcf2-4692-bd7b-7836cf462394,2a3df119-f8b3-4c63-b07d-98572390f21c,52319799-6581-4b8b-b10d-4c36869f3ec1,->,62f1a3c9-fcf2-4692-bd7b-7836cf462394,java/util/Calendar.java,set
62f1a3c9-fcf2-4692-bd7b-7836cf462394,2a3df119-f8b3-4c63-b07d-98572390f21c,52319799-6581-4b8b-b10d-4c36869f3ec1,->,62f1a3c9-fcf2-4692-bd7b-7836cf462394,java/util/Calendar.java,set
62f1a3c9-fcf2-4692-bd7b-7836cf462394,2a3df119-f8b3-4c63-b07d-98572390f21c,52319799-6581-4b8b-b10d-4c36869f3ec1,->,62f1a3c9-fcf2-4692-bd7b-7836cf462394,8e793274-0b32-4839-acb2-55935488dd72,fc13e07c-fb57-44b7-8169-4537faff3d85
62f1a3c9-fcf2-4692-bd7b-7836cf462394,2a3df119-f8b3-4c63-b07d-98572390f21c,52319799-6581-4b8b-b10d-4c36869f3ec1,->,62f1a3c9-fcf2-4692-bd7b-7836cf462394,8e793274-0b32-4839-acb2-55935488dd72,fc13e07c-fb57-44b7-8169-4537faff3d85
