caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,13788412-5cf3-4cc9-9aee-e4567e6d9c35,f326d34d-4a4e-410d-b5c5-8078c9a52df5,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/sql/Timestamp.java,valueOf
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,13788412-5cf3-4cc9-9aee-e4567e6d9c35,be63e9b7-ab7f-447b-8e96-2e7036d489b7,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/sql/Timestamp.java,toLocalDateTime
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,13788412-5cf3-4cc9-9aee-e4567e6d9c35,be63e9b7-ab7f-447b-8e96-2e7036d489b7,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,13788412-5cf3-4cc9-9aee-e4567e6d9c35,be63e9b7-ab7f-447b-8e96-2e7036d489b7
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,13788412-5cf3-4cc9-9aee-e4567e6d9c35,f326d34d-4a4e-410d-b5c5-8078c9a52df5,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,13788412-5cf3-4cc9-9aee-e4567e6d9c35,f326d34d-4a4e-410d-b5c5-8078c9a52df5
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,f91a2609-6b62-4a0a-baa1-9c5d81b962de,94a45204-59a0-4304-8467-7137ee38c86d,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/time/format/DateTimeFormatter.java,ofPattern
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,f91a2609-6b62-4a0a-baa1-9c5d81b962de,94a45204-59a0-4304-8467-7137ee38c86d,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/time/LocalDateTime.java,parse
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,f91a2609-6b62-4a0a-baa1-9c5d81b962de,1e2427b1-ae0c-4fe2-8617-79351fe82153,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/time/format/DateTimeFormatter.java,ofPattern
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,f91a2609-6b62-4a0a-baa1-9c5d81b962de,1e2427b1-ae0c-4fe2-8617-79351fe82153,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/time/LocalDateTime.java,format
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,f91a2609-6b62-4a0a-baa1-9c5d81b962de,1e2427b1-ae0c-4fe2-8617-79351fe82153,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,f91a2609-6b62-4a0a-baa1-9c5d81b962de,1e2427b1-ae0c-4fe2-8617-79351fe82153
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,f91a2609-6b62-4a0a-baa1-9c5d81b962de,94a45204-59a0-4304-8467-7137ee38c86d,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,f91a2609-6b62-4a0a-baa1-9c5d81b962de,94a45204-59a0-4304-8467-7137ee38c86d
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,5e6b5f29-c559-4027-ac06-037ed9bf8c20,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/Persistence.java,createEntityManagerFactory
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,5e6b5f29-c559-4027-ac06-037ed9bf8c20,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/EntityManagerFactory.java,createEntityManager
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,5e6b5f29-c559-4027-ac06-037ed9bf8c20,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/EntityManager.java,getTransaction
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,5e6b5f29-c559-4027-ac06-037ed9bf8c20,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/EntityTransaction.java,begin
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,b1b8364e-1460-4ee3-b169-2a5829e57f22,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/EntityManager.java,getTransaction
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,b1b8364e-1460-4ee3-b169-2a5829e57f22,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/EntityTransaction.java,rollback
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,f39583ee-c7db-47c9-b0bc-26050aa3a576,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,98bfa9c6-8642-4a96-8b96-1be1ac702bb2
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,f39583ee-c7db-47c9-b0bc-26050aa3a576,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/util/List.java,isEmpty
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,f39583ee-c7db-47c9-b0bc-26050aa3a576,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,org/junit/Assert.java,assertTrue
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,f39583ee-c7db-47c9-b0bc-26050aa3a576,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/time/LocalDateTime.java,now
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,f39583ee-c7db-47c9-b0bc-26050aa3a576,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,802a22c2-6f35-4ab8-afa2-d2a407e29a90,984db4e9-0cb3-42b5-be40-09b7f7dcbd08
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,f39583ee-c7db-47c9-b0bc-26050aa3a576,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,68803069-eb65-4bf9-9c8e-806ad859c5dc
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,f39583ee-c7db-47c9-b0bc-26050aa3a576,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,98bfa9c6-8642-4a96-8b96-1be1ac702bb2
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,f39583ee-c7db-47c9-b0bc-26050aa3a576,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/util/List.java,size
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,f39583ee-c7db-47c9-b0bc-26050aa3a576,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,org/junit/Assert.java,assertTrue
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,f39583ee-c7db-47c9-b0bc-26050aa3a576,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/util/List.java,get
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,f39583ee-c7db-47c9-b0bc-26050aa3a576,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,802a22c2-6f35-4ab8-afa2-d2a407e29a90,f407a1f5-6677-411b-86a1-42ebbf25d084
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,664cc522-f369-41c1-a254-3643db81e6f9,f39583ee-c7db-47c9-b0bc-26050aa3a576,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,org/junit/Assert.java,assertEquals
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,60ae103b-b80e-4ef9-b0b6-b26be3f06447,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,98bfa9c6-8642-4a96-8b96-1be1ac702bb2
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,b7b446b1-d0d6-458f-8bb6-1bcf15417059,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,d781c70e-f821-4d4b-80bc-990d275e0fd1
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,458b0889-3b15-4d83-a8cd-00690ec14d47,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,68803069-eb65-4bf9-9c8e-806ad859c5dc
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,458b0889-3b15-4d83-a8cd-00690ec14d47,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/ws/rs/core/UriInfo.java,getAbsolutePathBuilder
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,458b0889-3b15-4d83-a8cd-00690ec14d47,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/lang/StringBuilder.java,append
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,458b0889-3b15-4d83-a8cd-00690ec14d47,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,802a22c2-6f35-4ab8-afa2-d2a407e29a90,f687f2f7-5d8f-4f62-a8ee-6dbbbf59de0d
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,458b0889-3b15-4d83-a8cd-00690ec14d47,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/lang/StringBuilder.java,append
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,458b0889-3b15-4d83-a8cd-00690ec14d47,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/lang/StringBuilder.java,toString
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,458b0889-3b15-4d83-a8cd-00690ec14d47,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/ws/rs/core/UriBuilder.java,path
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,458b0889-3b15-4d83-a8cd-00690ec14d47,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/ws/rs/core/UriBuilder.java,build
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,458b0889-3b15-4d83-a8cd-00690ec14d47,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/ws/rs/core/Response.java,created
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,458b0889-3b15-4d83-a8cd-00690ec14d47,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/ws/rs/core/Response$ResponseBuilder.java,build
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,66034021-d40f-4c69-b492-3cc1634e1440,741d112e-fa00-4aa2-9a36-bccc929499f7,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,a728d680-c037-44eb-87f7-ee6a47d6d9b9
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,98bfa9c6-8642-4a96-8b96-1be1ac702bb2,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/EntityManager.java,createNamedQuery
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,98bfa9c6-8642-4a96-8b96-1be1ac702bb2,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/TypedQuery.java,getResultList
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,d781c70e-f821-4d4b-80bc-990d275e0fd1,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/lang/Long.java,valueOf
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,d781c70e-f821-4d4b-80bc-990d275e0fd1,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/EntityManager.java,find
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,b47fa2bd-f9d2-4b7d-bfe3-54fec3f695a7,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,d781c70e-f821-4d4b-80bc-990d275e0fd1
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,b47fa2bd-f9d2-4b7d-bfe3-54fec3f695a7,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/EntityManager.java,remove
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,68803069-eb65-4bf9-9c8e-806ad859c5dc,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/EntityManager.java,persist
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,292a1875-3410-4e10-b4d6-97906d7b4a28,a728d680-c037-44eb-87f7-ee6a47d6d9b9,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/EntityManager.java,merge
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,cd1b1b92-cb91-4406-bb72-5d73cfb9d562,44f44d5f-5fee-48fc-987f-c83108602b76,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,debd88c8-764d-4a98-a3bb-b39ccdaf998c,e5ec08d3-c448-40bd-af76-cfc6718e8eca
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,cd1b1b92-cb91-4406-bb72-5d73cfb9d562,820e35b0-8038-4d84-9e1d-1de96141ec4a,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,debd88c8-764d-4a98-a3bb-b39ccdaf998c,88d96a2d-d9ed-4990-8722-1b66c288811b
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,cd1b1b92-cb91-4406-bb72-5d73cfb9d562,ff708551-0acf-4f5d-9431-dd0a4d1d9c2c,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,debd88c8-764d-4a98-a3bb-b39ccdaf998c,ef9ee1c1-b036-4f44-96fc-9b01e059e9ea
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,debd88c8-764d-4a98-a3bb-b39ccdaf998c,e5ec08d3-c448-40bd-af76-cfc6718e8eca,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/EntityManager.java,createNamedQuery
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,debd88c8-764d-4a98-a3bb-b39ccdaf998c,e5ec08d3-c448-40bd-af76-cfc6718e8eca,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/TypedQuery.java,getResultList
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,debd88c8-764d-4a98-a3bb-b39ccdaf998c,88d96a2d-d9ed-4990-8722-1b66c288811b,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,java/lang/Long.java,valueOf
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,debd88c8-764d-4a98-a3bb-b39ccdaf998c,88d96a2d-d9ed-4990-8722-1b66c288811b,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,javax/persistence/EntityManager.java,find
70c88b15-7f5a-4eb0-baaa-c33afb03f79c,debd88c8-764d-4a98-a3bb-b39ccdaf998c,ef9ee1c1-b036-4f44-96fc-9b01e059e9ea,->,70c88b15-7f5a-4eb0-baaa-c33afb03f79c,debd88c8-764d-4a98-a3bb-b39ccdaf998c,88d96a2d-d9ed-4990-8722-1b66c288811b
