caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela.java,access$000
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,javax/swing/JFileChooser.java,getSelectedFile
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela.java,access$000
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,javax/swing/JFileChooser.java,getDialogType
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/io/File.java,getParent
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/StringBuilder.java,append
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/StringBuilder.java,append
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/StringBuilder.java,toString
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/io/File.java,getName
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,f9773e4f-629c-4f11-92e0-c3b20f7a6108,16df1c04-3534-4697-9ddb-09980ce2e78b
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/io/PrintStream.java,println
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/awt/Desktop.java,isDesktopSupported
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/System.java,getProperty
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/StringBuilder.java,append
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/StringBuilder.java,append
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/StringBuilder.java,append
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/StringBuilder.java,toString
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/awt/Desktop.java,getDesktop
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/awt/Desktop.java,open
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/Class.java,getName
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/util/logging/Logger.java,getLogger
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,br/com/guilhermebisotto/Tela$1.java,actionPerformed,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/util/logging/Logger.java,log
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,f9773e4f-629c-4f11-92e0-c3b20f7a6108,d7b4a221-6b6f-48b2-aabb-c529d94cdc51,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/System.java,getProperty
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,f9773e4f-629c-4f11-92e0-c3b20f7a6108,d7b4a221-6b6f-48b2-aabb-c529d94cdc51,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/StringBuilder.java,append
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,f9773e4f-629c-4f11-92e0-c3b20f7a6108,d7b4a221-6b6f-48b2-aabb-c529d94cdc51,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/StringBuilder.java,append
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,f9773e4f-629c-4f11-92e0-c3b20f7a6108,d7b4a221-6b6f-48b2-aabb-c529d94cdc51,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/StringBuilder.java,append
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,f9773e4f-629c-4f11-92e0-c3b20f7a6108,d7b4a221-6b6f-48b2-aabb-c529d94cdc51,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/lang/StringBuilder.java,toString
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,f9773e4f-629c-4f11-92e0-c3b20f7a6108,d7b4a221-6b6f-48b2-aabb-c529d94cdc51,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/io/BufferedWriter.java,append
7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,f9773e4f-629c-4f11-92e0-c3b20f7a6108,d7b4a221-6b6f-48b2-aabb-c529d94cdc51,->,7ba9ad06-2d68-40b6-ab45-fc56c2b0867f,java/io/BufferedWriter.java,close
