caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
800c2b33-a0f6-4aa7-8d30-80590bc7380f,cc9a502f-6e59-4322-8578-0854c24cb74d,e09cdcba-69b8-4eb7-8b03-90b11dce5a0f,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,f1e03e6d-7a2b-4576-939f-af5f5dc71424,8941008a-1890-4025-aff6-58c58c58b1c5
800c2b33-a0f6-4aa7-8d30-80590bc7380f,cc9a502f-6e59-4322-8578-0854c24cb74d,e09cdcba-69b8-4eb7-8b03-90b11dce5a0f,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,java/util/LinkedList.java,add
800c2b33-a0f6-4aa7-8d30-80590bc7380f,cc9a502f-6e59-4322-8578-0854c24cb74d,e09cdcba-69b8-4eb7-8b03-90b11dce5a0f,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,java/net/MalformedURLException.java,printStackTrace
800c2b33-a0f6-4aa7-8d30-80590bc7380f,cc9a502f-6e59-4322-8578-0854c24cb74d,fc0b1584-5763-4a1f-b7e0-d8791ce62950,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,java/io/BufferedReader.java,readLine
800c2b33-a0f6-4aa7-8d30-80590bc7380f,cc9a502f-6e59-4322-8578-0854c24cb74d,fc0b1584-5763-4a1f-b7e0-d8791ce62950,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,f1e03e6d-7a2b-4576-939f-af5f5dc71424,8941008a-1890-4025-aff6-58c58c58b1c5
800c2b33-a0f6-4aa7-8d30-80590bc7380f,cc9a502f-6e59-4322-8578-0854c24cb74d,fc0b1584-5763-4a1f-b7e0-d8791ce62950,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,java/util/LinkedList.java,add
800c2b33-a0f6-4aa7-8d30-80590bc7380f,cc9a502f-6e59-4322-8578-0854c24cb74d,fc0b1584-5763-4a1f-b7e0-d8791ce62950,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,java/io/BufferedReader.java,readLine
800c2b33-a0f6-4aa7-8d30-80590bc7380f,cc9a502f-6e59-4322-8578-0854c24cb74d,fc0b1584-5763-4a1f-b7e0-d8791ce62950,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,java/io/FileNotFoundException.java,printStackTrace
800c2b33-a0f6-4aa7-8d30-80590bc7380f,cc9a502f-6e59-4322-8578-0854c24cb74d,fc0b1584-5763-4a1f-b7e0-d8791ce62950,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,java/io/IOException.java,printStackTrace
800c2b33-a0f6-4aa7-8d30-80590bc7380f,Model$2.java,actionPerformed,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,Model.java,access$000
800c2b33-a0f6-4aa7-8d30-80590bc7380f,Model$3.java,actionPerformed,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,Model.java,access$100
800c2b33-a0f6-4aa7-8d30-80590bc7380f,Model$4.java,keyPressed,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,java/awt/event/KeyEvent.java,getKeyCode
800c2b33-a0f6-4aa7-8d30-80590bc7380f,Model$4.java,keyPressed,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,Model.java,access$202
800c2b33-a0f6-4aa7-8d30-80590bc7380f,Model$4.java,keyPressed,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,java/awt/event/KeyEvent.java,isControlDown
800c2b33-a0f6-4aa7-8d30-80590bc7380f,Model$4.java,keyPressed,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,Model.java,access$200
800c2b33-a0f6-4aa7-8d30-80590bc7380f,Model$4.java,keyPressed,->,800c2b33-a0f6-4aa7-8d30-80590bc7380f,Model.java,access$200
