caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,2580fe96-9bf8-40a8-9b37-d888a870d797
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/Connection.java,prepareStatement
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,a6fef55e-5c79-47f0-b442-f54e6030830d,6c4bcc02-5a19-4fb6-bcce-3e880819a5a1
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,setString
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,a6fef55e-5c79-47f0-b442-f54e6030830d,f34d2521-59dc-4b97-a44c-defc16b52a8b
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,setString
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,a6fef55e-5c79-47f0-b442-f54e6030830d,5b3aabdf-8376-45a1-8057-7a1e82830640
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,setString
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,a6fef55e-5c79-47f0-b442-f54e6030830d,a4dd99a9-71a6-4818-a328-eb1d9b47cb07
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,setDate
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,a6fef55e-5c79-47f0-b442-f54e6030830d,ab6d5666-7d7d-4bec-8dab-7c390b06c0cc
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,setString
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,a6fef55e-5c79-47f0-b442-f54e6030830d,caa619fa-ad6f-49dc-959d-3cc2f165788d
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,ed695c82-0f36-4074-835e-c0f875fc8ec4,b3d44ee9-5dee-4acd-8203-61b824086b75
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,setInt
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,executeUpdate
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,0cd09fe7-ada6-49fc-9c30-5b342f717b7a
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/lang/Exception.java,printStackTrace
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,0cd09fe7-ada6-49fc-9c30-5b342f717b7a
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,a9a985db-7a4e-4d72-9bc0-ecc881486e9d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,0cd09fe7-ada6-49fc-9c30-5b342f717b7a
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,2580fe96-9bf8-40a8-9b37-d888a870d797
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/Connection.java,prepareStatement
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,a6fef55e-5c79-47f0-b442-f54e6030830d,f34d2521-59dc-4b97-a44c-defc16b52a8b
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,setString
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,a6fef55e-5c79-47f0-b442-f54e6030830d,5b3aabdf-8376-45a1-8057-7a1e82830640
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,setString
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,a6fef55e-5c79-47f0-b442-f54e6030830d,a4dd99a9-71a6-4818-a328-eb1d9b47cb07
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,setDate
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,a6fef55e-5c79-47f0-b442-f54e6030830d,ab6d5666-7d7d-4bec-8dab-7c390b06c0cc
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,setString
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,a6fef55e-5c79-47f0-b442-f54e6030830d,caa619fa-ad6f-49dc-959d-3cc2f165788d
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,ed695c82-0f36-4074-835e-c0f875fc8ec4,b3d44ee9-5dee-4acd-8203-61b824086b75
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,setInt
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,a6fef55e-5c79-47f0-b442-f54e6030830d,6c4bcc02-5a19-4fb6-bcce-3e880819a5a1
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,setString
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/sql/PreparedStatement.java,executeUpdate
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,0cd09fe7-ada6-49fc-9c30-5b342f717b7a
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,java/lang/Exception.java,printStackTrace
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,0cd09fe7-ada6-49fc-9c30-5b342f717b7a
850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,09527d40-5849-4420-ac13-93fb090f8e8d,->,850f4d8d-081f-44c5-9b30-8616be506b7b,2719b4a4-7664-4b56-9def-8ac4d7524188,0cd09fe7-ada6-49fc-9c30-5b342f717b7a
