caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
8574df66-fe80-490e-a1bf-2245d90eafb8,30d45c74-b704-46d1-9aa0-bdccdd93e647,5525d522-f60c-47cc-ab67-2d7af62c465a,->,8574df66-fe80-490e-a1bf-2245d90eafb8,javax/swing/UIManager.java,setLookAndFeel
8574df66-fe80-490e-a1bf-2245d90eafb8,30d45c74-b704-46d1-9aa0-bdccdd93e647,5525d522-f60c-47cc-ab67-2d7af62c465a,->,8574df66-fe80-490e-a1bf-2245d90eafb8,java/lang/Throwable.java,printStackTrace
8574df66-fe80-490e-a1bf-2245d90eafb8,30d45c74-b704-46d1-9aa0-bdccdd93e647,5525d522-f60c-47cc-ab67-2d7af62c465a,->,8574df66-fe80-490e-a1bf-2245d90eafb8,gui/Gui.java,setVisible
8574df66-fe80-490e-a1bf-2245d90eafb8,30d45c74-b704-46d1-9aa0-bdccdd93e647,5525d522-f60c-47cc-ab67-2d7af62c465a,->,8574df66-fe80-490e-a1bf-2245d90eafb8,java/lang/Exception.java,printStackTrace
8574df66-fe80-490e-a1bf-2245d90eafb8,gui/Gui$1.java,actionPerformed,->,8574df66-fe80-490e-a1bf-2245d90eafb8,gui/Gui.java,access$000
8574df66-fe80-490e-a1bf-2245d90eafb8,gui/Gui$1.java,actionPerformed,->,8574df66-fe80-490e-a1bf-2245d90eafb8,javax/swing/JLabel.java,setText
8574df66-fe80-490e-a1bf-2245d90eafb8,gui/Gui$1.java,actionPerformed,->,8574df66-fe80-490e-a1bf-2245d90eafb8,java/lang/Thread.java,start
8574df66-fe80-490e-a1bf-2245d90eafb8,gui/Gui$1.java,actionPerformed,->,8574df66-fe80-490e-a1bf-2245d90eafb8,java/lang/StringBuilder.java,append
8574df66-fe80-490e-a1bf-2245d90eafb8,gui/Gui$1.java,actionPerformed,->,8574df66-fe80-490e-a1bf-2245d90eafb8,java/lang/StringBuilder.java,append
8574df66-fe80-490e-a1bf-2245d90eafb8,gui/Gui$1.java,actionPerformed,->,8574df66-fe80-490e-a1bf-2245d90eafb8,java/lang/StringBuilder.java,toString
8574df66-fe80-490e-a1bf-2245d90eafb8,gui/Gui$1.java,actionPerformed,->,8574df66-fe80-490e-a1bf-2245d90eafb8,java/io/PrintStream.java,println
8574df66-fe80-490e-a1bf-2245d90eafb8,gui/Gui$1$1.java,run,->,8574df66-fe80-490e-a1bf-2245d90eafb8,gui/Gui.java,access$100
8574df66-fe80-490e-a1bf-2245d90eafb8,gui/Gui$1$1.java,run,->,8574df66-fe80-490e-a1bf-2245d90eafb8,javax/swing/JTextField.java,getText
