caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,75ec9555-cfcd-4850-80e4-a200b1384009,->,99ade183-48c7-490d-a585-c3176e846c35,fr/drawurthings/model/ToolboxModel.java,setChanged
99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,75ec9555-cfcd-4850-80e4-a200b1384009,->,99ade183-48c7-490d-a585-c3176e846c35,fr/drawurthings/model/ToolboxModel.java,notifyObservers
99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,0d82cc98-ce59-4d8e-9ae1-23d754e4321c,->,99ade183-48c7-490d-a585-c3176e846c35,fr/drawurthings/model/ToolboxModel.java,setChanged
99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,0d82cc98-ce59-4d8e-9ae1-23d754e4321c,->,99ade183-48c7-490d-a585-c3176e846c35,fr/drawurthings/model/ToolboxModel.java,notifyObservers
99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,26b67644-196b-42f0-9324-d5e169ded1e7,->,99ade183-48c7-490d-a585-c3176e846c35,fr/drawurthings/model/ToolboxModel.java,setChanged
99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,26b67644-196b-42f0-9324-d5e169ded1e7,->,99ade183-48c7-490d-a585-c3176e846c35,fr/drawurthings/model/ToolboxModel.java,notifyObservers
99ade183-48c7-490d-a585-c3176e846c35,380c2bb3-60f9-4fd1-b068-e20d33b2d05f,236d5bc0-ee65-4cf9-beca-bce7a5fa4d21,->,99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,66ecc513-c749-4bcf-b4c9-637c555106f3
99ade183-48c7-490d-a585-c3176e846c35,380c2bb3-60f9-4fd1-b068-e20d33b2d05f,236d5bc0-ee65-4cf9-beca-bce7a5fa4d21,->,99ade183-48c7-490d-a585-c3176e846c35,fr/drawurthings/graphics/draw/DrawPanel.java,getWidth
99ade183-48c7-490d-a585-c3176e846c35,380c2bb3-60f9-4fd1-b068-e20d33b2d05f,236d5bc0-ee65-4cf9-beca-bce7a5fa4d21,->,99ade183-48c7-490d-a585-c3176e846c35,fr/drawurthings/graphics/draw/DrawPanel.java,getHeight
99ade183-48c7-490d-a585-c3176e846c35,380c2bb3-60f9-4fd1-b068-e20d33b2d05f,236d5bc0-ee65-4cf9-beca-bce7a5fa4d21,->,99ade183-48c7-490d-a585-c3176e846c35,java/awt/image/BufferedImage.java,createGraphics
99ade183-48c7-490d-a585-c3176e846c35,380c2bb3-60f9-4fd1-b068-e20d33b2d05f,236d5bc0-ee65-4cf9-beca-bce7a5fa4d21,->,99ade183-48c7-490d-a585-c3176e846c35,6a1db52b-5133-4844-86f5-398cd2e35cc4,f9ae0fc4-1193-4528-b394-3fe24275e47e
99ade183-48c7-490d-a585-c3176e846c35,380c2bb3-60f9-4fd1-b068-e20d33b2d05f,236d5bc0-ee65-4cf9-beca-bce7a5fa4d21,->,99ade183-48c7-490d-a585-c3176e846c35,java/awt/Graphics.java,dispose
99ade183-48c7-490d-a585-c3176e846c35,380c2bb3-60f9-4fd1-b068-e20d33b2d05f,236d5bc0-ee65-4cf9-beca-bce7a5fa4d21,->,99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,66ecc513-c749-4bcf-b4c9-637c555106f3
99ade183-48c7-490d-a585-c3176e846c35,380c2bb3-60f9-4fd1-b068-e20d33b2d05f,236d5bc0-ee65-4cf9-beca-bce7a5fa4d21,->,99ade183-48c7-490d-a585-c3176e846c35,javax/imageio/ImageIO.java,write
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,2eacb627-7318-468c-ba45-fe603387680e,->,99ade183-48c7-490d-a585-c3176e846c35,fr/drawurthings/model/Paint.java,setChanged
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,2eacb627-7318-468c-ba45-fe603387680e,->,99ade183-48c7-490d-a585-c3176e846c35,fr/drawurthings/model/Paint.java,notifyObservers
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,size
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,832210cc-6903-4bc4-99ae-a71f68f39e96
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,add
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,size
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,832210cc-6903-4bc4-99ae-a71f68f39e96
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,81b22a2f-c5e0-4144-8ca9-f60ecfa261b4
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,add
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,size
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,832210cc-6903-4bc4-99ae-a71f68f39e96
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,81b22a2f-c5e0-4144-8ca9-f60ecfa261b4
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,add
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,size
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,832210cc-6903-4bc4-99ae-a71f68f39e96
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,81b22a2f-c5e0-4144-8ca9-f60ecfa261b4
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,add
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,size
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,832210cc-6903-4bc4-99ae-a71f68f39e96
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,81b22a2f-c5e0-4144-8ca9-f60ecfa261b4
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,add
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,size
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,832210cc-6903-4bc4-99ae-a71f68f39e96
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,38d0424b-d84b-4efe-a529-f04b5c870abd,81b22a2f-c5e0-4144-8ca9-f60ecfa261b4
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,add
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,size
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,get
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,4bb8b537-a447-4591-802d-50944c7b9158,a6eeba41-d008-4955-b95b-f7332df198e9
99ade183-48c7-490d-a585-c3176e846c35,b096e560-620b-4298-99af-ee400c082f5d,7195d2bd-6a7f-4eea-8d44-60fbdca37dc4,->,99ade183-48c7-490d-a585-c3176e846c35,java/util/ArrayList.java,size
