caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,laucher/Launcher$3.java,actionPerformed,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,laucher/Launcher.java,access$200
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,laucher/Launcher$2.java,actionPerformed,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,laucher/Launcher.java,access$100
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,3075d033-2c01-4303-b7d7-509f14929aef,dd85a618-f894-48dc-9f48-0b7a28d32652,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,laucher/Launcher.java,setDefaultCloseOperation
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,3075d033-2c01-4303-b7d7-509f14929aef,dd85a618-f894-48dc-9f48-0b7a28d32652,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,javax/swing/JButton.java,setText
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,3075d033-2c01-4303-b7d7-509f14929aef,dd85a618-f894-48dc-9f48-0b7a28d32652,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,javax/swing/JButton.java,addActionListener
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,3075d033-2c01-4303-b7d7-509f14929aef,dd85a618-f894-48dc-9f48-0b7a28d32652,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,javax/swing/JButton.java,setText
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,3075d033-2c01-4303-b7d7-509f14929aef,dd85a618-f894-48dc-9f48-0b7a28d32652,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,javax/swing/JButton.java,addActionListener
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,3075d033-2c01-4303-b7d7-509f14929aef,dd85a618-f894-48dc-9f48-0b7a28d32652,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,javax/swing/JButton.java,setText
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,3075d033-2c01-4303-b7d7-509f14929aef,dd85a618-f894-48dc-9f48-0b7a28d32652,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,javax/swing/JButton.java,addActionListener
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,3075d033-2c01-4303-b7d7-509f14929aef,dd85a618-f894-48dc-9f48-0b7a28d32652,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,javax/swing/JButton.java,setText
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,3075d033-2c01-4303-b7d7-509f14929aef,dd85a618-f894-48dc-9f48-0b7a28d32652,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,laucher/Launcher.java,getContentPane
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,3075d033-2c01-4303-b7d7-509f14929aef,dd85a618-f894-48dc-9f48-0b7a28d32652,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,laucher/Launcher.java,getContentPane
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,3075d033-2c01-4303-b7d7-509f14929aef,dd85a618-f894-48dc-9f48-0b7a28d32652,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,java/awt/Container.java,setLayout
a077db3c-1690-4f1d-8077-c2dbce1d4a9b,3075d033-2c01-4303-b7d7-509f14929aef,dd85a618-f894-48dc-9f48-0b7a28d32652,->,a077db3c-1690-4f1d-8077-c2dbce1d4a9b,javax/swing/GroupLayout.java,createParallelGroup
