caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
a20cdbdd-eecb-488c-ad29-22d3dff2cac9,e20ba8b5-767f-45d6-b8b4-eca84f5232cc,3087a45c-37a1-4698-a943-1c62c1671b37,->,a20cdbdd-eecb-488c-ad29-22d3dff2cac9,e20ba8b5-767f-45d6-b8b4-eca84f5232cc,16ffa256-4d3b-49f0-9466-478025f021a3
a20cdbdd-eecb-488c-ad29-22d3dff2cac9,e20ba8b5-767f-45d6-b8b4-eca84f5232cc,16ffa256-4d3b-49f0-9466-478025f021a3,->,a20cdbdd-eecb-488c-ad29-22d3dff2cac9,javax/servlet/http/HttpServletRequest.java,getParameter
a20cdbdd-eecb-488c-ad29-22d3dff2cac9,e20ba8b5-767f-45d6-b8b4-eca84f5232cc,16ffa256-4d3b-49f0-9466-478025f021a3,->,a20cdbdd-eecb-488c-ad29-22d3dff2cac9,300b7ac1-3203-4ebb-b385-dc5ab0125d80,39fdf657-e801-44a7-842a-b6fcd49250d0
a20cdbdd-eecb-488c-ad29-22d3dff2cac9,e20ba8b5-767f-45d6-b8b4-eca84f5232cc,16ffa256-4d3b-49f0-9466-478025f021a3,->,a20cdbdd-eecb-488c-ad29-22d3dff2cac9,javax/servlet/http/HttpServletRequest.java,getParameter
a20cdbdd-eecb-488c-ad29-22d3dff2cac9,e20ba8b5-767f-45d6-b8b4-eca84f5232cc,16ffa256-4d3b-49f0-9466-478025f021a3,->,a20cdbdd-eecb-488c-ad29-22d3dff2cac9,300b7ac1-3203-4ebb-b385-dc5ab0125d80,dfaf9778-84fc-4c5a-b790-9314833172a1
a20cdbdd-eecb-488c-ad29-22d3dff2cac9,e20ba8b5-767f-45d6-b8b4-eca84f5232cc,16ffa256-4d3b-49f0-9466-478025f021a3,->,a20cdbdd-eecb-488c-ad29-22d3dff2cac9,javax/servlet/http/HttpServletRequest.java,getParameter
a20cdbdd-eecb-488c-ad29-22d3dff2cac9,e20ba8b5-767f-45d6-b8b4-eca84f5232cc,16ffa256-4d3b-49f0-9466-478025f021a3,->,a20cdbdd-eecb-488c-ad29-22d3dff2cac9,300b7ac1-3203-4ebb-b385-dc5ab0125d80,85c21cf5-b6a5-44fc-8867-980bd12ccd3e
a20cdbdd-eecb-488c-ad29-22d3dff2cac9,e20ba8b5-767f-45d6-b8b4-eca84f5232cc,16ffa256-4d3b-49f0-9466-478025f021a3,->,a20cdbdd-eecb-488c-ad29-22d3dff2cac9,javax/servlet/http/HttpServletRequest.java,getParameter
a20cdbdd-eecb-488c-ad29-22d3dff2cac9,e20ba8b5-767f-45d6-b8b4-eca84f5232cc,16ffa256-4d3b-49f0-9466-478025f021a3,->,a20cdbdd-eecb-488c-ad29-22d3dff2cac9,300b7ac1-3203-4ebb-b385-dc5ab0125d80,dc3ce9c1-a477-4887-82ac-a27343fd2da4
a20cdbdd-eecb-488c-ad29-22d3dff2cac9,e20ba8b5-767f-45d6-b8b4-eca84f5232cc,16ffa256-4d3b-49f0-9466-478025f021a3,->,a20cdbdd-eecb-488c-ad29-22d3dff2cac9,javax/servlet/http/HttpServletRequest.java,getParameter
