caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,cc8fe93a-b469-459e-9179-c43000f3d252,786c787b-3db8-4313-b42c-da6aa4ba0a3c,->,a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,Controller/Controller.java,setChanged
a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,cc8fe93a-b469-459e-9179-c43000f3d252,786c787b-3db8-4313-b42c-da6aa4ba0a3c,->,a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,java/util/Observable.java,notifyObservers
a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,cc8fe93a-b469-459e-9179-c43000f3d252,4b0d1bde-e8c5-433a-860e-7a282092978f,->,a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,cc8fe93a-b469-459e-9179-c43000f3d252,8d564f11-e1c6-4648-b21a-43b669cf659f
a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,cc8fe93a-b469-459e-9179-c43000f3d252,4b0d1bde-e8c5-433a-860e-7a282092978f,->,a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,org/hibernate/Session.java,createQuery
a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,cc8fe93a-b469-459e-9179-c43000f3d252,4b0d1bde-e8c5-433a-860e-7a282092978f,->,a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,org/hibernate/Query.java,setParameter
a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,cc8fe93a-b469-459e-9179-c43000f3d252,4b0d1bde-e8c5-433a-860e-7a282092978f,->,a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,org/hibernate/Query.java,setParameter
a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,cc8fe93a-b469-459e-9179-c43000f3d252,4b0d1bde-e8c5-433a-860e-7a282092978f,->,a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,org/hibernate/Query.java,list
a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,cc8fe93a-b469-459e-9179-c43000f3d252,4b0d1bde-e8c5-433a-860e-7a282092978f,->,a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,java/util/List.java,isEmpty
a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,cc8fe93a-b469-459e-9179-c43000f3d252,4b0d1bde-e8c5-433a-860e-7a282092978f,->,a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,java/util/List.java,get
a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,cc8fe93a-b469-459e-9179-c43000f3d252,4b0d1bde-e8c5-433a-860e-7a282092978f,->,a35e5fcd-cdc0-4061-a04c-87ad27bea2c6,java/lang/Object.java,toString
