caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,org/htmlcleaner/HtmlCleaner.java,clean
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,org/htmlcleaner/TagNode.java,getElementsByAttValue
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,org/apache/log4j/Logger.java,error
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,org/htmlcleaner/TagNode.java,getElementsByAttValue
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,org/htmlcleaner/TagNode.java,getText
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,java/lang/CharSequence.java,toString
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,org/htmlcleaner/TagNode.java,getText
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,java/lang/CharSequence.java,toString
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,7d4cf343-5914-49f4-979c-1a10ce4a7759,422bec28-1ac7-4d5b-bd9e-dc543abf937a
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,965ffd8d-ba7a-4f08-a919-2dff13ea7edf,1306d227-64ef-41db-b46a-4caa22836178
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,org/htmlcleaner/TagNode.java,getElementsByAttValue
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,org/apache/log4j/Logger.java,warn
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,org/htmlcleaner/TagNode.java,getText
a78cea39-a405-4f2d-ac0d-3210b63163fb,d96312d3-2e4f-40c1-8bd7-0d02e2f795ce,bba76e69-8ebb-46ba-999e-2be29e5a3f81,->,a78cea39-a405-4f2d-ac0d-3210b63163fb,java/lang/CharSequence.java,toString
