caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
b830260f-2397-45db-b7a8-fcb5c32acdc4,ec181d11-3208-4c25-af5d-020625a6e614,98fd490a-f2b9-47aa-a171-1a14cfc63947,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat.java,getConf
b830260f-2397-45db-b7a8-fcb5c32acdc4,ec181d11-3208-4c25-af5d-020625a6e614,98fd490a-f2b9-47aa-a171-1a14cfc63947,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/giraph/conf/ImmutableClassesGiraphConfiguration.java,get
b830260f-2397-45db-b7a8-fcb5c32acdc4,ec181d11-3208-4c25-af5d-020625a6e614,98fd490a-f2b9-47aa-a171-1a14cfc63947,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/lang/Boolean.java,parseBoolean
b830260f-2397-45db-b7a8-fcb5c32acdc4,08d653f9-bf89-434d-b266-abf4a1be356f,d1ee4c32-2ed8-48b0-9a43-86785a50adc7,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,08d653f9-bf89-434d-b266-abf4a1be356f,d1ee4c32-2ed8-48b0-9a43-86785a50adc7
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,preprocessLine,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/hadoop/io/Text.java,toString
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,preprocessLine,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/lang/String.java,split
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,getValue,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,getValue
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,getSourceVertexId,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,getSourceVertexId
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,getTargetVertexId,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,getTargetVertexId
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,preprocessLine,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,preprocessLine
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,getProgress,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/giraph/io/formats/TextEdgeInputFormat$TextEdgeReaderFromEachLineProcessed.java,getProgress
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,close,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/giraph/io/formats/TextEdgeInputFormat$TextEdgeReaderFromEachLineProcessed.java,close
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEEdgeInputFormat$SBEdgeReader.java,initialize,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/giraph/io/formats/TextEdgeInputFormat$TextEdgeReaderFromEachLineProcessed.java,initialize
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,writeVertex,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/giraph/graph/Vertex.java,getValue
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,writeVertex,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,3651a22a-9fa2-458e-bbf8-86ee5345b6cf
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,writeVertex,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,getRecordWriter
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,writeVertex,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/giraph/graph/Vertex.java,getId
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,writeVertex,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/hadoop/io/IntWritable.java,get
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,writeVertex,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/lang/Integer.java,toString
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,writeVertex,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/lang/Double.java,toString
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,writeVertex,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/hadoop/mapreduce/RecordWriter.java,write
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,getContext,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/giraph/io/formats/TextVertexOutputFormat$TextVertexWriter.java,getContext
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,getRecordWriter,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/giraph/io/formats/TextVertexOutputFormat$TextVertexWriter.java,getRecordWriter
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,close,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/giraph/io/formats/TextVertexOutputFormat$TextVertexWriter.java,close
b830260f-2397-45db-b7a8-fcb5c32acdc4,com/soteradefense/betweenness/giraph/io/HBSEOutputFormat$SBVertexWriter.java,initialize,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,org/apache/giraph/io/formats/TextVertexOutputFormat$TextVertexWriter.java,initialize
b830260f-2397-45db-b7a8-fcb5c32acdc4,940cfbba-3086-48a4-9b7e-5d0271a6324a,c0c84a3a-050a-4e60-bfa2-34176bb37bbc,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/io/DataOutput.java,writeInt
b830260f-2397-45db-b7a8-fcb5c32acdc4,940cfbba-3086-48a4-9b7e-5d0271a6324a,c0c84a3a-050a-4e60-bfa2-34176bb37bbc,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/io/DataOutput.java,writeDouble
b830260f-2397-45db-b7a8-fcb5c32acdc4,940cfbba-3086-48a4-9b7e-5d0271a6324a,cd29ee78-26ae-4b5f-9a31-75a091d3c8d7,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/io/DataInput.java,readInt
b830260f-2397-45db-b7a8-fcb5c32acdc4,940cfbba-3086-48a4-9b7e-5d0271a6324a,cd29ee78-26ae-4b5f-9a31-75a091d3c8d7,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/io/DataInput.java,readDouble
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,fba7f81f-0898-48e1-805b-424fe9047333,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,291950b1-2ec5-4c6a-ba00-a3f92bd081bc,2eb89efd-2552-4b39-9a59-9fe09a4808d3
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,fba7f81f-0898-48e1-805b-424fe9047333,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,fd5fbf6c-96f8-4229-8d21-de01069beef3
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,fba7f81f-0898-48e1-805b-424fe9047333,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/lang/Integer.java,valueOf
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,fba7f81f-0898-48e1-805b-424fe9047333,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/util/Map.java,get
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,fba7f81f-0898-48e1-805b-424fe9047333,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,fd5fbf6c-96f8-4229-8d21-de01069beef3
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,fba7f81f-0898-48e1-805b-424fe9047333,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/lang/Integer.java,valueOf
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,fba7f81f-0898-48e1-805b-424fe9047333,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/util/Map.java,put
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,fba7f81f-0898-48e1-805b-424fe9047333,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,49aff15b-5e93-437a-bbc0-751fbe48132e,a831e14f-a6a2-40a7-96ec-f14ae0cdc85a
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,5a3d0df8-9111-4f34-8785-877b5a5d767d,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/lang/Integer.java,valueOf
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,5a3d0df8-9111-4f34-8785-877b5a5d767d,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/util/Map.java,containsKey
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,5a3d0df8-9111-4f34-8785-877b5a5d767d,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/lang/Integer.java,valueOf
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,5a3d0df8-9111-4f34-8785-877b5a5d767d,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/util/Map.java,get
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,5a3d0df8-9111-4f34-8785-877b5a5d767d,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,940cfbba-3086-48a4-9b7e-5d0271a6324a,3be83c7f-e297-4406-bd1e-9866df4c5660
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,5a3d0df8-9111-4f34-8785-877b5a5d767d,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,940cfbba-3086-48a4-9b7e-5d0271a6324a,61d56b4a-bee5-48b5-8355-daf68eb17c55
b830260f-2397-45db-b7a8-fcb5c32acdc4,ad8a93ea-c4a4-4a4a-8e6a-ebd1a19d2ef4,5a3d0df8-9111-4f34-8785-877b5a5d767d,->,b830260f-2397-45db-b7a8-fcb5c32acdc4,java/lang/Integer.java,valueOf
