caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,21ad3431-db3d-4d81-ac52-6ceb0a1a89ff,a6f7ea92-7e79-4b6f-a38a-3ca4848a6c6f,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/lang/Boolean.java,valueOf
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,21ad3431-db3d-4d81-ac52-6ceb0a1a89ff,a6f7ea92-7e79-4b6f-a38a-3ca4848a6c6f,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/io/PrintStream.java,println
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,21ad3431-db3d-4d81-ac52-6ceb0a1a89ff,a6f7ea92-7e79-4b6f-a38a-3ca4848a6c6f,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/lang/String.java,equals
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,21ad3431-db3d-4d81-ac52-6ceb0a1a89ff,a6f7ea92-7e79-4b6f-a38a-3ca4848a6c6f,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,6e3c061c-151f-452a-8070-6573558b9bc7
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,21ad3431-db3d-4d81-ac52-6ceb0a1a89ff,a6f7ea92-7e79-4b6f-a38a-3ca4848a6c6f,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/lang/StringBuilder.java,append
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,21ad3431-db3d-4d81-ac52-6ceb0a1a89ff,a6f7ea92-7e79-4b6f-a38a-3ca4848a6c6f,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,985bbc33-37e4-4d40-b998-4aa9f9e9d1a6,1b993073-1b41-4a04-8d4d-bf256460b1ef
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,21ad3431-db3d-4d81-ac52-6ceb0a1a89ff,a6f7ea92-7e79-4b6f-a38a-3ca4848a6c6f,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/lang/StringBuilder.java,append
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,21ad3431-db3d-4d81-ac52-6ceb0a1a89ff,a6f7ea92-7e79-4b6f-a38a-3ca4848a6c6f,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/lang/StringBuilder.java,toString
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,21ad3431-db3d-4d81-ac52-6ceb0a1a89ff,a6f7ea92-7e79-4b6f-a38a-3ca4848a6c6f,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/io/PrintStream.java,println
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,21ad3431-db3d-4d81-ac52-6ceb0a1a89ff,a6f7ea92-7e79-4b6f-a38a-3ca4848a6c6f,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/lang/Exception.java,printStackTrace
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,bec62b2b-2eea-4a85-9c5b-276d3ac6f15a,d6f4fcf7-e48c-4c5d-b935-3654f45dbbd4,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,985bbc33-37e4-4d40-b998-4aa9f9e9d1a6,1b993073-1b41-4a04-8d4d-bf256460b1ef
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,bec62b2b-2eea-4a85-9c5b-276d3ac6f15a,d6f4fcf7-e48c-4c5d-b935-3654f45dbbd4,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/util/Map.java,put
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,bec62b2b-2eea-4a85-9c5b-276d3ac6f15a,d6f4fcf7-e48c-4c5d-b935-3654f45dbbd4,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,bec62b2b-2eea-4a85-9c5b-276d3ac6f15a,dbf77907-2511-40ff-9e4e-198e0f81ee7a
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,bec62b2b-2eea-4a85-9c5b-276d3ac6f15a,952824e9-e199-4722-ab86-f6daf69d2b3d,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/util/Map.java,get
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,bec62b2b-2eea-4a85-9c5b-276d3ac6f15a,dbf77907-2511-40ff-9e4e-198e0f81ee7a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/io/ObjectOutputStream.java,writeObject
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,bec62b2b-2eea-4a85-9c5b-276d3ac6f15a,dbf77907-2511-40ff-9e4e-198e0f81ee7a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/io/ObjectOutputStream.java,close
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,bec62b2b-2eea-4a85-9c5b-276d3ac6f15a,f0938b18-d238-461a-a829-3849df55c42c,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/io/ObjectInputStream.java,readObject
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,bec62b2b-2eea-4a85-9c5b-276d3ac6f15a,f0938b18-d238-461a-a829-3849df55c42c,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/io/ObjectInputStream.java,close
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,560d62ce-58e1-4fdd-84ce-3edfbb406884,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,6e3c061c-151f-452a-8070-6573558b9bc7
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,560d62ce-58e1-4fdd-84ce-3edfbb406884,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,junit/framework/Assert.java,assertNotNull
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,7af27b70-273d-468f-bfd1-167420b7d263,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,6e3c061c-151f-452a-8070-6573558b9bc7
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,7af27b70-273d-468f-bfd1-167420b7d263,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,6e3c061c-151f-452a-8070-6573558b9bc7
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,430ba626-9c59-4a33-8ade-4461ff964324,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,6e3c061c-151f-452a-8070-6573558b9bc7
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,430ba626-9c59-4a33-8ade-4461ff964324,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,6e3c061c-151f-452a-8070-6573558b9bc7
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,430ba626-9c59-4a33-8ade-4461ff964324,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,b1baee24-caaa-4994-8612-e36b1bef0700
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,430ba626-9c59-4a33-8ade-4461ff964324,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/lang/Boolean.java,booleanValue
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,430ba626-9c59-4a33-8ade-4461ff964324,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,junit/framework/Assert.java,assertTrue
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,a73ed11f-1120-4eac-8327-b613c4c1f90a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,6e3c061c-151f-452a-8070-6573558b9bc7
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,a73ed11f-1120-4eac-8327-b613c4c1f90a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,6e3c061c-151f-452a-8070-6573558b9bc7
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,a73ed11f-1120-4eac-8327-b613c4c1f90a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,985bbc33-37e4-4d40-b998-4aa9f9e9d1a6,1b993073-1b41-4a04-8d4d-bf256460b1ef
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,a73ed11f-1120-4eac-8327-b613c4c1f90a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,b1baee24-caaa-4994-8612-e36b1bef0700
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,a73ed11f-1120-4eac-8327-b613c4c1f90a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,6e3c061c-151f-452a-8070-6573558b9bc7
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,a73ed11f-1120-4eac-8327-b613c4c1f90a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,985bbc33-37e4-4d40-b998-4aa9f9e9d1a6,1b993073-1b41-4a04-8d4d-bf256460b1ef
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,a73ed11f-1120-4eac-8327-b613c4c1f90a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,b1baee24-caaa-4994-8612-e36b1bef0700
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,a73ed11f-1120-4eac-8327-b613c4c1f90a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/util/List.java,add
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,a73ed11f-1120-4eac-8327-b613c4c1f90a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,java/util/List.java,add
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,a73ed11f-1120-4eac-8327-b613c4c1f90a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,11b2b04b-638b-48e2-a4b3-5158c56c980a
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,561b15cd-0b3f-470d-a3d0-6e3305818429,a73ed11f-1120-4eac-8327-b613c4c1f90a,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,junit/framework/Assert.java,assertEquals
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,6e3c061c-151f-452a-8070-6573558b9bc7,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,bec62b2b-2eea-4a85-9c5b-276d3ac6f15a,952824e9-e199-4722-ab86-f6daf69d2b3d
bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,839ff73a-4c89-4ec9-a15f-529e31c730b2,6e3c061c-151f-452a-8070-6573558b9bc7,->,bb03d2da-8dd5-495d-a2f2-7ee4cc01361a,985bbc33-37e4-4d40-b998-4aa9f9e9d1a6,036bb69c-c7ad-46e8-897e-570850635566
