caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
c2146909-87a7-4596-9163-d65659b86cbb,kiloboltgame/CharacterType.java,values,->,c2146909-87a7-4596-9163-d65659b86cbb,kiloboltgame/CharacterType.java,clone
c2146909-87a7-4596-9163-d65659b86cbb,kiloboltgame/CharacterType.java,valueOf,->,c2146909-87a7-4596-9163-d65659b86cbb,java/lang/Enum.java,valueOf
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,d52f5010-0c11-413c-ab84-9771e756082d,->,c2146909-87a7-4596-9163-d65659b86cbb,3aedf975-817f-424e-a5c0-a231704a9742,cdb4dafc-86e2-499b-8a5c-c052648e76cb
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,d52f5010-0c11-413c-ab84-9771e756082d,->,c2146909-87a7-4596-9163-d65659b86cbb,java/awt/Rectangle.java,setBounds
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,d52f5010-0c11-413c-ab84-9771e756082d,->,c2146909-87a7-4596-9163-d65659b86cbb,792359e4-d925-421e-9231-734900e18d5f,3e688e43-29c5-4345-b8ac-40653d2a922a
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,d52f5010-0c11-413c-ab84-9771e756082d,->,c2146909-87a7-4596-9163-d65659b86cbb,java/awt/Rectangle.java,intersects
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,d52f5010-0c11-413c-ab84-9771e756082d,->,c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,66c44c0b-8949-4dff-b72b-2a7bd2561d7d
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,66c44c0b-8949-4dff-b72b-2a7bd2561d7d,->,c2146909-87a7-4596-9163-d65659b86cbb,792359e4-d925-421e-9231-734900e18d5f,c620ae73-7c18-4429-a7a4-35ee910b445f
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,66c44c0b-8949-4dff-b72b-2a7bd2561d7d,->,c2146909-87a7-4596-9163-d65659b86cbb,java/awt/Rectangle.java,intersects
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,66c44c0b-8949-4dff-b72b-2a7bd2561d7d,->,c2146909-87a7-4596-9163-d65659b86cbb,792359e4-d925-421e-9231-734900e18d5f,54c16c8d-b3eb-4665-a703-db249242a2a1
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,66c44c0b-8949-4dff-b72b-2a7bd2561d7d,->,c2146909-87a7-4596-9163-d65659b86cbb,java/awt/Rectangle.java,intersects
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,66c44c0b-8949-4dff-b72b-2a7bd2561d7d,->,c2146909-87a7-4596-9163-d65659b86cbb,792359e4-d925-421e-9231-734900e18d5f,071ce5df-4992-4c1d-af46-a8b77da2a371
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,66c44c0b-8949-4dff-b72b-2a7bd2561d7d,->,c2146909-87a7-4596-9163-d65659b86cbb,java/awt/Rectangle.java,intersects
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,66c44c0b-8949-4dff-b72b-2a7bd2561d7d,->,c2146909-87a7-4596-9163-d65659b86cbb,792359e4-d925-421e-9231-734900e18d5f,0960c4fc-3bd0-4abf-87fa-6e25de010c24
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,66c44c0b-8949-4dff-b72b-2a7bd2561d7d,->,c2146909-87a7-4596-9163-d65659b86cbb,java/awt/Rectangle.java,intersects
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,66c44c0b-8949-4dff-b72b-2a7bd2561d7d,->,c2146909-87a7-4596-9163-d65659b86cbb,java/io/PrintStream.java,println
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,86845290-3b33-4ad0-bfa1-b5005fe3179c,->,c2146909-87a7-4596-9163-d65659b86cbb,ca9d3485-cad6-41f2-a0e6-a6f49c8e502c,0506dea2-6064-4a17-9427-d3838d6cd9ec
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,86845290-3b33-4ad0-bfa1-b5005fe3179c,->,c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,e2b3f4a0-be74-4be4-84f5-e30f904d546f
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,e2b3f4a0-be74-4be4-84f5-e30f904d546f,->,c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,3029ca07-d40b-470f-9de6-43fadb66fe23
c2146909-87a7-4596-9163-d65659b86cbb,c850c248-eb97-42de-9f2a-2bd2affa3aa9,e2b3f4a0-be74-4be4-84f5-e30f904d546f,->,c2146909-87a7-4596-9163-d65659b86cbb,ca9d3485-cad6-41f2-a0e6-a6f49c8e502c,199a54e0-ebe8-4448-baa4-77923190462a
c2146909-87a7-4596-9163-d65659b86cbb,kiloboltgame/TileType.java,values,->,c2146909-87a7-4596-9163-d65659b86cbb,kiloboltgame/TileType.java,clone
c2146909-87a7-4596-9163-d65659b86cbb,kiloboltgame/TileType.java,valueOf,->,c2146909-87a7-4596-9163-d65659b86cbb,java/lang/Enum.java,valueOf
c2146909-87a7-4596-9163-d65659b86cbb,3e66dfdf-52ae-4276-9132-5bc84c60b283,62d04317-8b36-4d88-89db-64a13a1e4970,->,c2146909-87a7-4596-9163-d65659b86cbb,kiloboltgame/TileType.java,values
c2146909-87a7-4596-9163-d65659b86cbb,3190757d-ddf0-4846-94b7-f91083a0d5bb,b2da8a28-27cb-4000-bee3-0c588e52ceb5,->,c2146909-87a7-4596-9163-d65659b86cbb,3aedf975-817f-424e-a5c0-a231704a9742,cdb4dafc-86e2-499b-8a5c-c052648e76cb
c2146909-87a7-4596-9163-d65659b86cbb,3190757d-ddf0-4846-94b7-f91083a0d5bb,b2da8a28-27cb-4000-bee3-0c588e52ceb5,->,c2146909-87a7-4596-9163-d65659b86cbb,java/awt/Rectangle.java,setBounds
