caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,e7e8dc6a-33ce-4f42-83b0-885bab0e15b6,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,intValue
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,e7e8dc6a-33ce-4f42-83b0-885bab0e15b6,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/util/BitSet.java,get
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,e7e8dc6a-33ce-4f42-83b0-885bab0e15b6,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/util/BitSet.java,set
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,e7e8dc6a-33ce-4f42-83b0-885bab0e15b6,->,c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,4567b0e6-583d-49f9-b3ba-5a7fc532533b
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,4567b0e6-583d-49f9-b3ba-5a7fc532533b,->,c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,57707538-5fe9-4444-a1c8-57ca8ef51b1c
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,4567b0e6-583d-49f9-b3ba-5a7fc532533b,->,c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,67927848-c73a-4913-8dea-5a65c4b75148
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,57707538-5fe9-4444-a1c8-57ca8ef51b1c,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,67927848-c73a-4913-8dea-5a65c4b75148,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/io/PrintStream.java,println
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Integer.java,valueOf
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,34b49ec3-9a00-4c2c-a2d2-9c81f3dcd066,"1ff71bb1-0777-4a90-8222-4047196ca81e,d9cdb573-9d4c-4fca-921f-fc2c765ae6c4"
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,e7e8dc6a-33ce-4f42-83b0-885bab0e15b6
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,34b49ec3-9a00-4c2c-a2d2-9c81f3dcd066,"1ff71bb1-0777-4a90-8222-4047196ca81e,d9cdb573-9d4c-4fca-921f-fc2c765ae6c4"
c3e10868-d127-47a4-862b-7e54f4a78392,f2762c37-88f5-492a-9cb8-31530b03f331,1eb9b649-bb05-40ef-a48c-62b30bfa2ef0,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/Exception.java,printStackTrace
c3e10868-d127-47a4-862b-7e54f4a78392,02b08722-f456-4103-8421-e580b1403a0f,4bd008f8-39da-4c81-8d78-913b647add33,->,c3e10868-d127-47a4-862b-7e54f4a78392,java/lang/String.java,length
