caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/lang/StringBuilder.java,append
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,50198ecd-a8f7-4c14-bd09-668d34fcf65b
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/lang/StringBuilder.java,append
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/lang/StringBuilder.java,toString
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/io/PrintStream.java,println
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/lang/StringBuilder.java,append
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,8fbe9771-f117-46dd-b801-c53334197722
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/lang/StringBuilder.java,append
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/lang/StringBuilder.java,toString
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/io/PrintStream.java,println
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/lang/StringBuilder.java,append
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/lang/StringBuilder.java,append
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/lang/StringBuilder.java,append
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/lang/StringBuilder.java,append
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/lang/StringBuilder.java,toString
c5709397-0401-4467-a17e-37dc4ddd111e,c92c8205-6cd5-43a3-ad29-8218bb3c939d,3c57378a-4c54-4262-96a2-1e7d3e40264a,->,c5709397-0401-4467-a17e-37dc4ddd111e,java/io/PrintStream.java,println
c5709397-0401-4467-a17e-37dc4ddd111e,a0471a61-4004-4ef1-9e58-c548797ed2dd,40b09f62-4f5e-4efd-b5c9-a6bdf115b6b8,->,c5709397-0401-4467-a17e-37dc4ddd111e,31450030-5bde-4e9d-ba87-5b63e5a8f7d2,00866617-bc70-44ca-95fc-6ab2a74be0c6
c5709397-0401-4467-a17e-37dc4ddd111e,a0471a61-4004-4ef1-9e58-c548797ed2dd,40b09f62-4f5e-4efd-b5c9-a6bdf115b6b8,->,c5709397-0401-4467-a17e-37dc4ddd111e,31450030-5bde-4e9d-ba87-5b63e5a8f7d2,e7ea1271-db61-41bc-be3e-8937bf745647
c5709397-0401-4467-a17e-37dc4ddd111e,a0471a61-4004-4ef1-9e58-c548797ed2dd,40b09f62-4f5e-4efd-b5c9-a6bdf115b6b8,->,c5709397-0401-4467-a17e-37dc4ddd111e,31450030-5bde-4e9d-ba87-5b63e5a8f7d2,3e3dc268-f142-4d2f-9a96-63a58f994b01
c5709397-0401-4467-a17e-37dc4ddd111e,a0471a61-4004-4ef1-9e58-c548797ed2dd,40b09f62-4f5e-4efd-b5c9-a6bdf115b6b8,->,c5709397-0401-4467-a17e-37dc4ddd111e,31450030-5bde-4e9d-ba87-5b63e5a8f7d2,fecd1190-6e7b-474f-9d47-e8dc628728cc
c5709397-0401-4467-a17e-37dc4ddd111e,a0471a61-4004-4ef1-9e58-c548797ed2dd,40b09f62-4f5e-4efd-b5c9-a6bdf115b6b8,->,c5709397-0401-4467-a17e-37dc4ddd111e,31450030-5bde-4e9d-ba87-5b63e5a8f7d2,8980c813-7ad9-476a-b743-6438a61bd7cd
c5709397-0401-4467-a17e-37dc4ddd111e,a0471a61-4004-4ef1-9e58-c548797ed2dd,40b09f62-4f5e-4efd-b5c9-a6bdf115b6b8,->,c5709397-0401-4467-a17e-37dc4ddd111e,612781df-2e47-483f-8e8a-4701ed37fb84,a4ff22ac-6511-43b4-9f94-ac6148dfe08f
