caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
ccc7adad-42c0-4e6b-a629-fb6337da53b4,af6639db-a643-42df-a9bd-8d4212074f1d,69c98378-fa55-435b-a261-3f32bc6f0421,->,ccc7adad-42c0-4e6b-a629-fb6337da53b4,java/sql/Connection.java,prepareStatement
ccc7adad-42c0-4e6b-a629-fb6337da53b4,af6639db-a643-42df-a9bd-8d4212074f1d,69c98378-fa55-435b-a261-3f32bc6f0421,->,ccc7adad-42c0-4e6b-a629-fb6337da53b4,d4a65bb7-6b87-43e3-a78f-88a32900195c,5ab28c04-d987-45b5-8f86-4eac9180b3b2
ccc7adad-42c0-4e6b-a629-fb6337da53b4,af6639db-a643-42df-a9bd-8d4212074f1d,69c98378-fa55-435b-a261-3f32bc6f0421,->,ccc7adad-42c0-4e6b-a629-fb6337da53b4,cleartrip/model/pojo/Viagem.java,getId
ccc7adad-42c0-4e6b-a629-fb6337da53b4,af6639db-a643-42df-a9bd-8d4212074f1d,69c98378-fa55-435b-a261-3f32bc6f0421,->,ccc7adad-42c0-4e6b-a629-fb6337da53b4,java/lang/Long.java,longValue
ccc7adad-42c0-4e6b-a629-fb6337da53b4,af6639db-a643-42df-a9bd-8d4212074f1d,69c98378-fa55-435b-a261-3f32bc6f0421,->,ccc7adad-42c0-4e6b-a629-fb6337da53b4,java/sql/PreparedStatement.java,setLong
ccc7adad-42c0-4e6b-a629-fb6337da53b4,af6639db-a643-42df-a9bd-8d4212074f1d,69c98378-fa55-435b-a261-3f32bc6f0421,->,ccc7adad-42c0-4e6b-a629-fb6337da53b4,d4a65bb7-6b87-43e3-a78f-88a32900195c,f348a0bb-f040-42c8-89ac-e136cc24e9d3
ccc7adad-42c0-4e6b-a629-fb6337da53b4,af6639db-a643-42df-a9bd-8d4212074f1d,69c98378-fa55-435b-a261-3f32bc6f0421,->,ccc7adad-42c0-4e6b-a629-fb6337da53b4,cleartrip/model/pojo/CategoriaDespesa.java,getId
ccc7adad-42c0-4e6b-a629-fb6337da53b4,af6639db-a643-42df-a9bd-8d4212074f1d,69c98378-fa55-435b-a261-3f32bc6f0421,->,ccc7adad-42c0-4e6b-a629-fb6337da53b4,java/lang/Long.java,longValue
ccc7adad-42c0-4e6b-a629-fb6337da53b4,af6639db-a643-42df-a9bd-8d4212074f1d,69c98378-fa55-435b-a261-3f32bc6f0421,->,ccc7adad-42c0-4e6b-a629-fb6337da53b4,java/sql/PreparedStatement.java,setLong
ccc7adad-42c0-4e6b-a629-fb6337da53b4,af6639db-a643-42df-a9bd-8d4212074f1d,69c98378-fa55-435b-a261-3f32bc6f0421,->,ccc7adad-42c0-4e6b-a629-fb6337da53b4,d4a65bb7-6b87-43e3-a78f-88a32900195c,18dd3ee4-6109-4376-acef-701392548176
ccc7adad-42c0-4e6b-a629-fb6337da53b4,af6639db-a643-42df-a9bd-8d4212074f1d,69c98378-fa55-435b-a261-3f32bc6f0421,->,ccc7adad-42c0-4e6b-a629-fb6337da53b4,java/sql/PreparedStatement.java,setBytes
