caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
e408e2be-35c0-470c-8270-5e71675e66a2,f9b9543e-2e0a-429a-aea7-deefcd702953,c1d4d8d3-87a7-4b7f-af4c-41b83e836509,->,e408e2be-35c0-470c-8270-5e71675e66a2,bfe4ac8c-39be-4274-83eb-0c7056c052f9,713d9e57-b7eb-406f-bc1a-10f9f2996008
e408e2be-35c0-470c-8270-5e71675e66a2,ch/macrozone/dev/rapingRabbits/Gender.java,values,->,e408e2be-35c0-470c-8270-5e71675e66a2,ch/macrozone/dev/rapingRabbits/Gender.java,clone
e408e2be-35c0-470c-8270-5e71675e66a2,ch/macrozone/dev/rapingRabbits/Gender.java,valueOf,->,e408e2be-35c0-470c-8270-5e71675e66a2,java/lang/Enum.java,valueOf
e408e2be-35c0-470c-8270-5e71675e66a2,a46bd170-2414-427c-a8f0-7e6eb1a9a71a,7259edd6-983e-4b0d-8c4b-0ed2b57b57d2,->,e408e2be-35c0-470c-8270-5e71675e66a2,f9b9543e-2e0a-429a-aea7-deefcd702953,165396b7-bd53-46d4-b4e5-ddb5958eeb16
e408e2be-35c0-470c-8270-5e71675e66a2,a46bd170-2414-427c-a8f0-7e6eb1a9a71a,7259edd6-983e-4b0d-8c4b-0ed2b57b57d2,->,e408e2be-35c0-470c-8270-5e71675e66a2,java/lang/Math.java,min
e408e2be-35c0-470c-8270-5e71675e66a2,a46bd170-2414-427c-a8f0-7e6eb1a9a71a,7259edd6-983e-4b0d-8c4b-0ed2b57b57d2,->,e408e2be-35c0-470c-8270-5e71675e66a2,f9b9543e-2e0a-429a-aea7-deefcd702953,8daeef85-b16c-46fd-b3bb-77a8d66039ef
e408e2be-35c0-470c-8270-5e71675e66a2,a46bd170-2414-427c-a8f0-7e6eb1a9a71a,93900202-c022-4135-adb1-1ca55e4f6201,->,e408e2be-35c0-470c-8270-5e71675e66a2,4a09811e-707a-4ebf-bfd4-2ffe9a852b6d,7f8d50f0-de35-4094-9eec-8dab22d194c5
e408e2be-35c0-470c-8270-5e71675e66a2,a46bd170-2414-427c-a8f0-7e6eb1a9a71a,93900202-c022-4135-adb1-1ca55e4f6201,->,e408e2be-35c0-470c-8270-5e71675e66a2,4a09811e-707a-4ebf-bfd4-2ffe9a852b6d,455d2384-092c-424c-8992-39a358f5d96a
e408e2be-35c0-470c-8270-5e71675e66a2,a46bd170-2414-427c-a8f0-7e6eb1a9a71a,93900202-c022-4135-adb1-1ca55e4f6201,->,e408e2be-35c0-470c-8270-5e71675e66a2,a46bd170-2414-427c-a8f0-7e6eb1a9a71a,7259edd6-983e-4b0d-8c4b-0ed2b57b57d2
e408e2be-35c0-470c-8270-5e71675e66a2,a46bd170-2414-427c-a8f0-7e6eb1a9a71a,93900202-c022-4135-adb1-1ca55e4f6201,->,e408e2be-35c0-470c-8270-5e71675e66a2,af9793e2-a46f-4615-b0c3-4c84034c8b03,f558d559-b1de-4adb-b6a5-1677cd206cc5
