caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,next,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,nextInorderSuccessor
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,addLeftNode,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/Stack.java,push
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,nextInorderSuccessor,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/Stack.java,empty
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,nextInorderSuccessor,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,addLeftNode
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,nextInorderSuccessor,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/Stack.java,pop
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,nextInorderSuccessor,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/lang/Integer.java,valueOf
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,nextInorderSuccessor,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,addLeftNode
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,nextInorderSuccessor,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/Stack.java,empty
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,next,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderItr.java,next
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderTreeIterator.java,iterator,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/lang/UnsupportedOperationException.java,getMessage
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,InorderTreeIterator.java,iterator,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/io/PrintStream.java,println
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,MyIter$1.java,hasNext,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/ArrayList.java,size
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,MyIter$1.java,hasNext,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/ArrayList.java,get
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,MyIter$1.java,next,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/ArrayList.java,get
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,MyIter$1.java,remove,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/ArrayList.java,remove
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/lang/Integer.java,valueOf
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/ArrayList.java,add
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/lang/Integer.java,valueOf
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/ArrayList.java,add
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/lang/Integer.java,valueOf
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/ArrayList.java,add
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/lang/Integer.java,valueOf
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/ArrayList.java,add
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,MyIter.java,iterator
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/Iterator.java,hasNext
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/util/Iterator.java,next
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/lang/Integer.java,intValue
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,7036e7cf-926c-4eff-a6d8-f3347b404e31,f245c5e3-0b55-441d-b6f2-dad4c84c6f57,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/io/PrintStream.java,println
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,leastPriority.java,compare,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,Reservation.java,getPriority
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,leastPriority.java,compare,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,Reservation.java,getPriority
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,leastPriority.java,compare,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,leastPriority.java,compare
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,88e45b33-3d2e-4b90-a5b2-a4630a80773c,686c4a5b-a5f1-4afe-a8ec-049162d53d00,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/lang/Double.java,valueOf
ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,88e45b33-3d2e-4b90-a5b2-a4630a80773c,686c4a5b-a5f1-4afe-a8ec-049162d53d00,->,ef5c8954-1a29-4ad8-83f1-97710fbf9a8b,java/lang/Double.java,doubleValue
