caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,c7090e77-8538-415f-9d96-8b65c405561c,71833b20-b680-4915-9352-4364c0ae8b9e,->,f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,0615deaf-e1a2-4446-9879-f740e1c769ab,00427767-1c28-4126-b60b-0212ca505480
f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,c7090e77-8538-415f-9d96-8b65c405561c,71833b20-b680-4915-9352-4364c0ae8b9e,->,f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,java/util/Map.java,put
f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,c7090e77-8538-415f-9d96-8b65c405561c,4807641a-65c4-47e7-a94b-13b15b54c406,->,f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,java/util/Map.java,get
f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,c7090e77-8538-415f-9d96-8b65c405561c,be84fbc6-3829-406b-afdf-3a9e130c72b5,->,f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,java/util/Map.java,containsKey
f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,c7090e77-8538-415f-9d96-8b65c405561c,47eca6fa-88ac-47af-99ef-f66d1a4c4277,->,f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,java/util/Map.java,entrySet
f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,c7090e77-8538-415f-9d96-8b65c405561c,47eca6fa-88ac-47af-99ef-f66d1a4c4277,->,f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,java/util/Set.java,iterator
f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,c7090e77-8538-415f-9d96-8b65c405561c,47eca6fa-88ac-47af-99ef-f66d1a4c4277,->,f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,java/util/Iterator.java,hasNext
f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,c7090e77-8538-415f-9d96-8b65c405561c,47eca6fa-88ac-47af-99ef-f66d1a4c4277,->,f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,java/util/Iterator.java,next
f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,c7090e77-8538-415f-9d96-8b65c405561c,47eca6fa-88ac-47af-99ef-f66d1a4c4277,->,f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,java/util/Map$Entry.java,getKey
f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,c7090e77-8538-415f-9d96-8b65c405561c,47eca6fa-88ac-47af-99ef-f66d1a4c4277,->,f7dc7b39-ebad-4a87-ba4e-c5d36458b3d0,java/util/Map$Entry.java,getValue
