caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
f884bd5a-eb2b-4b31-8ec4-d25791a57407,fi/seco/hfst/WeightedTransducer$IndexTable.java,getFinalWeight,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/lang/Float.java,intBitsToFloat
f884bd5a-eb2b-4b31-8ec4-d25791a57407,fi/seco/hfst/HfstOptimizedLookup$FlagDiacriticOperator.java,values,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,fi/seco/hfst/HfstOptimizedLookup$FlagDiacriticOperator.java,clone
f884bd5a-eb2b-4b31-8ec4-d25791a57407,fi/seco/hfst/HfstOptimizedLookup$FlagDiacriticOperator.java,valueOf,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/lang/Enum.java,valueOf
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/io/PrintStream.java,println
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/io/BufferedReader.java,readLine
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,593cfd4b-db0e-45f0-940d-36508e9d83c6,6b63c2e3-f99b-4150-8a71-11cd2e39f056
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/util/Collection.java,iterator
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/util/Iterator.java,hasNext
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/util/Iterator.java,next
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/lang/StringBuilder.java,append
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/lang/StringBuilder.java,append
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/lang/StringBuilder.java,append
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/lang/StringBuilder.java,toString
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/io/PrintStream.java,println
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/util/Collection.java,isEmpty
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/lang/StringBuilder.java,append
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/lang/StringBuilder.java,append
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/lang/StringBuilder.java,toString
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/io/PrintStream.java,println
f884bd5a-eb2b-4b31-8ec4-d25791a57407,418eef4e-e21c-4abb-b178-1db85f4c3d76,6e443935-194f-4e2e-b04e-73605745ac82,->,f884bd5a-eb2b-4b31-8ec4-d25791a57407,java/io/PrintStream.java,println
